unidad,método,operación,fragmento/rasgo,motivo,motores afectados,alternativa,responsable,estado,prueba necesaria
"src/Lib/inLibDialectosSql.pas","TDialectoMariaDB.ComandosInicializacionSesion","Inicialización de sesión","SET NAMES utf8mb4 COLLATE utf8mb4_spanish_ci","SET NAMES y la colación utf8mb4_spanish_ci son específicos de MariaDB/MySQL; PostgreSQL configura encoding, locale y collation de otra forma","MariaDB/MySQL","Sentencia aislada en el dialecto MariaDB; PostgreSQL y SQL Server devuelven su propia lista de comandos","Infraestructura/BBDD (por asignar)","Aislado por motor; validación real pendiente","Conectar y reconectar; Unicode y comparaciones equivalentes en MariaDB, PostgreSQL y SQL Server"
"src/Lib/inLibDialectosSql.pas","TDialectoMariaDB.ComandosInicializacionSesion","Timeouts de sesión","SET SESSION wait_timeout = 28800, session interactive_timeout = 28800","Estas variables son específicas de MariaDB/MySQL y no representan directamente los timeouts de PostgreSQL o SQL Server","MariaDB/MySQL","Comandos aislados en el dialecto MariaDB; mapear intenciones de timeout por motor cuando se definan en el perfil","Infraestructura/BBDD (por asignar)","Aislado por motor; sustitución de constantes por perfil pendiente","Sesión ociosa, consulta larga, bloqueo, reconexión y conexión de segundo plano en los motores habilitados"
"src/DataModules/UniDataConexionFabrica.pas","TFabricaConexionesUniDAC.FormatearError","Normalización de errores","case E.ErrorCode of 1062, 1048, 1364, 1054, 1146, 1045, 2003, 2006, 2013, 1205, 1213...","Los códigos numéricos son de MariaDB/MySQL; PostgreSQL expone SQLSTATE y categorías diferentes a través de UniDAC","MariaDB/MySQL y PostgreSQL","La selección ya está aislada por motor; completar el traductor PostgreSQL por SQLSTATE y conservar el detalle técnico solo en log seguro","Infraestructura (por asignar)","MariaDB aislado; catálogo PostgreSQL pendiente; impacto alto","Duplicado, NOT NULL, FK, permisos, credenciales, red, timeout de bloqueo y deadlock con el mismo resultado observable"
"src/DataModules/UniDataLogonRepositorio.pas; src/DataModules/UniDataDBStructureRepositorio.pas; src/DataModules/UniDataRestauracionCopiasConexion.pas","ExisteEsquemaLogonUniDAC / TRepositorioEstructuraBBDDUniDAC.ExisteEsquema / PrepararConexion","Descubrimiento de destino al conectar","SELECT SCHEMA_NAME FROM INFORMATION_SCHEMA.SCHEMATA WHERE SCHEMA_NAME = :BBDD","El código trata base de datos y esquema como equivalentes; en PostgreSQL una conexión elige base y dentro de ella puede elegir schema","PostgreSQL","Separar BaseDatos y Esquema en el perfil; comprobar base desde catálogo administrativo y schema desde la conexión de destino mediante un adaptador","Infraestructura/BBDD (por asignar)","Inventariado; pendiente; impacto alto","Base existente/inexistente y schema existente/inexistente, incluido un nombre de base distinto del schema"
"src/DataModules/UniDataBackupRepositorio.pas","TPersistenciaCopiaBackupUniDAC.Preparar / TPersistenciaRestauracionBackupUniDAC.PrepararDestino","Inicialización de sesión de copia/restauración","SET NAMES utf8mb4 COLLATE utf8mb4_spanish_ci","Sentencia y colación específicas de MariaDB/MySQL que impiden iniciar el flujo en PostgreSQL","PostgreSQL","Delegar la inicialización de sesión al adaptador de conexión/backup del motor","Backup/BBDD (por asignar)","Inventariado; pendiente; impacto alto","Copia y restauración de texto Unicode con caracteres españoles y comparación posterior de datos"
"src/DataModules/UniDataBackupRepositorio.pas","TPersistenciaRestauracionBackupUniDAC.PrepararDestino","Creación y normalización de base","CREATE DATABASE IF NOT EXISTS `...` CHARACTER SET utf8mb4 COLLATE utf8mb4_spanish_ci; ALTER DATABASE `...` CHARACTER SET...","PostgreSQL no admite esta combinación: no tiene IF NOT EXISTS para CREATE DATABASE, usa opciones de ENCODING/LOCALE diferentes y CREATE DATABASE requiere contexto administrativo adecuado","PostgreSQL","Adaptador administrativo PostgreSQL que compruebe existencia, cree fuera de transacción con ENCODING/LOCALE del perfil y valide capacidades","Backup/BBDD (por asignar)","Inventariado; pendiente; impacto crítico","Crear destino inexistente dos veces (idempotencia), destino existente compatible/incompatible y fallo de permisos"
"src/DataModules/UniDataBackupRepositorio.pas","TPersistenciaRestauracionBackupUniDAC.PrepararDestino","Cambio de base activa","USE `base_datos`","PostgreSQL no permite cambiar de base dentro de una conexión; hay que abrir/reabrir una conexión al destino","PostgreSQL","Cerrar la conexión administrativa y solicitar a la fábrica una conexión nueva al destino conservando el schema del perfil","Backup/Infraestructura (por asignar)","Inventariado; pendiente; impacto crítico","Crear destino, reconectar a él, comprobar base/schema activos y liberar ambas conexiones ante error"
"src/DataModules/UniDataBackupRepositorio.pas","TPersistenciaRestauracionBackupUniDAC.NormalizarBaseDatos / NormalizarTabla","Normalización de charset y collation","ALTER DATABASE ... CHARACTER SET ... COLLATE ...; ALTER TABLE ... CONVERT TO CHARACTER SET utf8mb4 COLLATE utf8mb4_spanish_ci","PostgreSQL no cambia encoding/collation con estas sentencias ni soporta CONVERT TO CHARACTER SET","PostgreSQL","Validar encoding/locale al crear la base y definir una estrategia PostgreSQL explícita de collation por columna/índice o recreación controlada","Backup/BBDD (por asignar)","Inventariado; pendiente; impacto alto","Restaurar destino con configuración válida/no válida y verificar ordenación, Unicode e índices dependientes de collation"
"src/DataModules/UniDataBackupRepositorio.pas","DelimitarIdentificador / ObtenerFiltroTraducciones / ObtenerTablasConColacionNoValida","Identificadores y catálogo de la base activa","Backticks; DATABASE(); TABLE_COLLATION; CHARACTER_SET_NAME; COLLATION_NAME","PostgreSQL delimita con comillas dobles y distingue current_database() de current_schema(); varias columnas de catálogo consultadas son propias de MySQL","PostgreSQL","Servicio de dialecto QuoteIdentifier y lector de catálogo por motor; no concatenar identificadores sin validación","Backup/BBDD (por asignar)","Inventariado; pendiente; impacto alto","Nombres con mayúsculas/caracteres especiales, schema no public y detección de columnas/tablas con collation"
"src/Lib/backup/Backup.Engine.pas","TDBBackupEngine.GenerateBackup","Preámbulo del script de backup","SET NAMES...; START TRANSACTION; SET FOREIGN_KEY_CHECKS=0; SET SQL_MODE=\"NO_AUTO_VALUE_ON_ZERO\"; SET AUTOCOMMIT=0","El script generado es ejecutable solo por MariaDB/MySQL; controles de FK, modo SQL y transacciones difieren en PostgreSQL","PostgreSQL","Writer/preámbulo por motor y catálogo que etiquete el dialecto del artefacto; rechazar restaurarlo con otro provider","Backup (por asignar)","Inventariado; pendiente; impacto crítico","Generar/restaurar artefactos de ambos motores; rechazo cruzado de dialecto; rollback al fallar a mitad"
"src/Lib/backup/Providers_MySQL.pas","TMySQLMetadataProvider.GetData / GetRowCount","Lectura de datos y recuentos","Identificadores con `...`; INFORMATION_SCHEMA.TABLES.TABLE_ROWS","Los backticks no son válidos en PostgreSQL y TABLE_ROWS es una estimación/campo específico de MySQL que no existe con la misma semántica","PostgreSQL","TPostgreSQLMetadataProvider con QuoteIdentifier propio y COUNT(*) o estrategia de estimación explícita según el contrato","Backup/BBDD (por asignar)","Inventariado; pendiente; impacto alto","Tabla vacía/grande, filtro, nombre reservado y exactitud del recuento en ambos motores"
"src/Lib/backup/Providers_MySQL.pas","GetFunctionDefinition / GetProcedureDefinition / GetTriggerDefinition / GetViewDefinition","Extracción de DDL","SHOW CREATE FUNCTION|PROCEDURE|TRIGGER|VIEW `...`; posiciones de campos; eliminación de DEFINER","SHOW CREATE, DEFINER y la forma del resultado son de MySQL; PostgreSQL usa catálogos y funciones pg_get_*def y no tiene procedimientos idénticos","PostgreSQL","Implementar extracción PostgreSQL en su provider y normalizar el modelo de objetos sin reutilizar DDL MySQL","Backup/BBDD (por asignar)","Inventariado; pendiente; impacto crítico","Funciones, procedimientos, triggers y vistas con dependencias, schema y permisos; restauración y comparación semántica"
