"Ruta";"Exit";"Continue";"With";"Anchas";"Tabuladores"
"src\Caja\DataModules\UniDataCaja.pas";"6";"0";"7";"1";"0"
"src\Caja\DataModules\UniDataCajaFormasPago.pas";"0";"0";"1";"1";"0"
"src\Caja\DataModules\UniDataTraspaso.pas";"1";"0";"2";"2";"0"
"src\Caja\Forms\inMtoCajaFaseCobro.pas";"13";"0";"1";"1";"0"
"src\Caja\Forms\inMtoCajaGrabadorVenta.pas";"0";"0";"0";"1";"0"
"src\Caja\Forms\inMtoCajaMenu.pas";"6";"0";"0";"0";"0"
"src\Caja\Forms\inMtoCajaOpe.pas";"52";"0";"5";"30";"0"
"src\Caja\Forms\inMtoCajaParam.pas";"9";"2";"2";"3";"0"
"src\Caja\Forms\inMtoCajaReferenciaPago.pas";"5";"0";"0";"0";"0"
"src\Caja\Forms\inMtoCajaSeleccionVale.pas";"3";"0";"1";"1";"0"
"src\Caja\Forms\inMtoTraspasoOpe.pas";"3";"0";"0";"5";"0"
"src\Caja\Lib\inLibArqueoTicket.pas";"0";"0";"0";"3";"0"
"src\Caja\Lib\inLibCajaDatosFactura.pas";"0";"0";"1";"0";"0"
"src\Caja\Lib\inLibCajaParam.pas";"0";"0";"0";"2";"0"
"src\Caja\Lib\inLibFaseCobro.pas";"22";"1";"0";"2";"0"
"src\Caja\Lib\inLibGenerarTicketCaja.pas";"1";"0";"0";"0";"0"
"src\Caja\Lib\inLibTiraCajaTicket.pas";"0";"0";"0";"1";"0"
"src\Caja\Lib\inLibTraspasoTicket.pas";"0";"0";"0";"1";"0"
"src\Caja\Modals\inMtoModalArqueo.pas";"12";"0";"0";"0";"0"
"src\Caja\Modals\inMtoModalArqueosHistCaja.pas";"3";"0";"0";"0";"0"
"src\Caja\Modals\inMtoModalGastoCaja.pas";"3";"0";"0";"0";"0"
"src\Caja\Modals\inMtoModalImpArqueos.pas";"0";"0";"1";"1";"0"
"src\Caja\Modals\inMtoModalImpDepositos.pas";"0";"0";"1";"0";"0"
"src\Caja\Modals\inMtoModalImpOperaciones.pas";"0";"0";"1";"0";"0"
"src\Caja\Modals\inMtoModalImpPagos.pas";"0";"0";"1";"1";"0"
"src\Caja\Modals\inMtoModalTiraCaja.pas";"0";"0";"0";"1";"0"
"src\Core\inMtoAppParam.pas";"11";"2";"2";"7";"0"
"src\Core\inMtoLogon.pas";"6";"0";"2";"0";"0"
"src\Core\inMtoPreviewExcel.pas";"0";"0";"1";"0";"0"
"src\Core\inMtoPreviewTicket.pas";"2";"0";"0";"3";"0"
"src\Core\inMtoPrincipal.pas";"21";"0";"2";"0";"0"
"src\DataModules\UniDataAlbaranes.pas";"6";"3";"14";"6";"0"
"src\DataModules\UniDataAlbaranesCompra.pas";"9";"0";"5";"1";"0"
"src\DataModules\UniDataAlbaranesCompraMovimientos.pas";"1";"1";"0";"60";"0"
"src\DataModules\UniDataArticulos.pas";"14";"3";"7";"2";"0"
"src\DataModules\UniDataArticulosAtributosRepositorio.pas";"3";"0";"0";"0";"0"
"src\DataModules\UniDataArticulosResolverRepositorio.pas";"5";"0";"0";"0";"0"
"src\DataModules\UniDataArticulosValidadorRepositorio.pas";"4";"0";"0";"0";"0"
"src\DataModules\UniDataArticulosVariaciones.pas";"0";"0";"1";"0";"0"
"src\DataModules\UniDataAtributosBasicos.pas";"1";"0";"0";"0";"0"
"src\DataModules\UniDataAtributosConjuntos.pas";"1";"0";"0";"0";"0"
"src\DataModules\UniDataClientes.pas";"3";"0";"1";"0";"0"
"src\DataModules\UniDataComprasSesiones.pas";"5";"0";"3";"9";"0"
"src\DataModules\UniDataComprasSesionesOperaciones.pas";"4";"0";"0";"1";"0"
"src\DataModules\UniDataConn.pas";"0";"0";"1";"0";"0"
"src\DataModules\UniDataConsultaOpe.pas";"6";"0";"0";"0";"0"
"src\DataModules\UniDataContadorLineasRepositorio.pas";"4";"0";"0";"0";"0"
"src\DataModules\UniDataDevolucionesCompra.pas";"7";"0";"4";"2";"0"
"src\DataModules\UniDataDevolucionesCompraMovimientos.pas";"1";"1";"0";"12";"0"
"src\DataModules\UniDataDocsProveedorSql.pas";"0";"0";"6";"0";"0"
"src\DataModules\UniDataDocumentosTrabajo.pas";"0";"0";"0";"3";"0"
"src\DataModules\UniDataEfectosCompra.pas";"0";"0";"0";"2";"0"
"src\DataModules\UniDataEfectosVenta.pas";"0";"0";"0";"1";"0"
"src\DataModules\UniDataEmpresas.pas";"5";"0";"5";"0";"0"
"src\DataModules\UniDataFacturas.pas";"7";"0";"16";"0";"0"
"src\DataModules\UniDataFacturasCompra.pas";"11";"0";"4";"2";"0"
"src\DataModules\UniDataFamilias.pas";"0";"0";"3";"0";"0"
"src\DataModules\UniDataFormasdePago.pas";"1";"0";"3";"1";"0"
"src\DataModules\UniDataGeneradorProcesos.pas";"0";"0";"1";"0";"0"
"src\DataModules\UniDataGrupos.pas";"1";"0";"0";"0";"0"
"src\DataModules\UniDataInventarios.pas";"18";"3";"0";"3";"0"
"src\DataModules\UniDataIvas.pas";"0";"0";"4";"0";"0"
"src\DataModules\UniDataIvasGrupos.pas";"0";"0";"2";"0";"0"
"src\DataModules\UniDataPedidos.pas";"4";"0";"11";"0";"0"
"src\DataModules\UniDataPedidosCompra.pas";"8";"0";"6";"2";"0"
"src\DataModules\UniDataPedidosCompraAlbaranComun.pas";"0";"0";"0";"41";"0"
"src\DataModules\UniDataPedidosCompraIncorporacionAlbaran.pas";"0";"0";"0";"23";"0"
