0;0;VARIOS;VARIOS
01010002;0101;BLUSA M/L SOLAPA RAYAS;BLUSA M/L SOLAPA RAYAS
01010003;0101;BLUSA M/L RAYAS BOLSO;BLUSA M/L RAYAS BOLSO
01010004;0101;BLUSA M/L BRILLO;BLUSA M/L BRILLO
01010005;0101;BLUSA M/L BOLSOS CAMISERA;BLUSA M/L BOLSOS CAMISERA
01010006;0101;BLUSA M/L SOLAPA BORDADA;BLUSA M/L SOLAPA BORDADA
01010007;0101;BLUSA M/L SOLAPA BORDADA;BLUSA M/L SOLAPA BORDADA
01010008;0101;BLUSA M/L C-CERRADO BORDA;BLUSA M/L C-CERRADO BORDADA
01010009;0101;SOBRECAMISA ANTELINA C-PU;SOBRECAMISA ANTELINA C-PUNTO
01010010;0101;BLUSA M/L PATA GALLO;BLUSA M/L PATA GALLO
01010011;0101;BLUSA M/L SOLAPA ESTAMP.;BLUSA M/L SOLAPA ESTAMP.
01010012;0101;BLUSA M/L RAYAS SOLAPA;BLUSA M/L RAYAS SOLAPA
01010016;0101;BLUSA M/L ANTELINA;BLUSA M/L ANTELINA
01010017;0101;BLUSA M/L;BLUSA M/L
01010018;0101;BLUSA M/L RAYAS;BLUSA M/L RAYAS
01010019;0101;BLUSA M/FRANCESA;BLUSA M/FRANCESA
01010020;0101;BLUSA M/L RRAYAS;BLUSA M/L RRAYAS
01010021;0101;SOBRECAMISA ANTELINA  M/L;SOBRECAMISA ANTELINA  M/L
01010022;0101;SOBRECAMISA;SOBRECAMISA
01010024;0101;BLUSA M/L ESTAMPADA;BLUSA M/L ESTAMPADA
01010025;0101;BLUSA M/L ESTAMPADA;BLUSA M/L ESTAMPADA
01010026;0101;BLUSA M/L RASO;BLUSA M/L RASO
01010029;0101;BLUSA M/L CUADROS;BLUSA M/L CUADROS
01010030;0101;BLUSA M/L TIGRE;BLUSA M/L TIGRE
01010031;0101;BLUSA M/L ESTAMP.;BLUSA M/L ESTAMP.
01010032;0101;BLUSA M/L ESPIGA JASPE;BLUSA M/L ESPIGA JASPE
01010033;0101;BLUSON ESTAM.M/L;BLUSON ESTAM.M/L
01010034;0101;TOP BRILLO;TOP BRILLO
01010035;0101;SOBRECAMISA ANTELINA;SOBRECAMISA ANTELINA
01010036;0101;BLUSA M/L SOLAPA;BLUSA M/L SOLAPA
