0;0;0;INDEFINIDO;INDEFINIDO
01010002;16 VER;5;16 VER;VERDE
01010002;18 MAL;83;18 MAL;MALVA
01010002;ROSA;37;ROSA;ROSA PALO
01010003;13 BIE;67;13 BIE;BEIG
01010003;17 ROS;36;17 ROS;ROSA
01010003;19 AZU;4;19 AZU;AZUL
01010004;84 AZU;41;84 AZU;AZUL OSCURO
01010005;BERENG;40;BERENG;BERENJENA
01010005;BIEGE;67;BIEGE;BEIG
01010006;GRIS C;27;GRIS C;GRIS CLARO
01010006;ROSA;37;ROSA PALO;ROSA PALO
01010006;VERDE;5;VERDE;VERDE
01010007;BERNGE;40;BERNGE;BERENJENA
01010007;PIEDRA;69;PIEDRA;PIEDRA
01010007;VERDE;5;VERDE;VERDE
01010008;BEIGE;67;BEIGE;BEIG
01010008;BERENG;40;BERENG;BERENJENA
01010009;185 VE;5;185 VE;VERDE
01010009;186 GR;32;186 GR;GRANATE
01010010;100 VE;5;100 VE;VERDE
01010010;99 MAR;6;99 MAR;MARRON
01010010;TOSTAD;65;TOSTADO;TOSTADO
01010011;64 BIE;67;64 BIE;BEIG
01010012;27 VER;55;27 VER;VERDE CLARO
01010012;28 VER;52;28 VER;VERDE OSCURO
01010012;30 AZU;4;30 AZU;AZUL
01010012;31 GRN;32;31 GRN;GRANATE
01010016;30CAME;60;30CAME;CAMEL
01010016;31MARR;6;31MARR;MARRON
