Temporada;varchar;5
Nombre;varchar;30
FechaInicial;smalldatetime;NULL
FechaFinal;smalldatetime;NULL
AplicarRebaja;varchar;1
Abreviatura;varchar;10
ActualCompras;varchar;1
ActualVentas;varchar;1
EsContinuidad;varchar;1
FechaIni1;smalldatetime;NULL
FechaFin1;smalldatetime;NULL
FechaIni2;smalldatetime;NULL
FechaFin2;smalldatetime;NULL
FechaIni3;smalldatetime;NULL
FechaFin3;smalldatetime;NULL
FechaIni4;smalldatetime;NULL
FechaFin4;smalldatetime;NULL
FechaIni5;smalldatetime;NULL
FechaFin5;smalldatetime;NULL
InstanteModif;datetime;NULL
InstanteTraspaso;datetime;NULL
EmpresaModif;int;NULL
AlmacenModif;int;NULL
FechaInicialVta;smalldatetime;NULL
FechaFinalVta;smalldatetime;NULL
SurtidoOpt;int;NULL
Estado;varchar;1
NoTrigger;varchar;1
FechaInicialEnt;smalldatetime;NULL
FechaFinalEnt;smalldatetime;NULL
