Archivo;Linea;NombreAntiguo;NombreNuevo;Texto
"C:\DISCO_DURO\proyectos\Factuzam\src\Core\inMtoAppParam.pas";409;"SUBKEY_PERFILES";"SUBKEY_USUPER";"SubKey   := qry.FieldByName('SUBKEY_PERFILES').AsString;"
"C:\DISCO_DURO\proyectos\Factuzam\src\Core\inMtoAppParam.pas";410;"VALUE_PERFILES";"VALUE_USUPER";"ValorStr := qry.FieldByName('VALUE_PERFILES').AsString;"
"C:\DISCO_DURO\proyectos\Factuzam\src\Core\inMtoAppParam.pas";587;"USUARIO_GRUPO_PERFILES";"USUARIO_GRUPO_USUPER";"'SELECT DISTINCT USUARIO_GRUPO_PERFILES ' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\Core\inMtoAppParam.pas";589;"KEY_PERFILES";"KEY_USUPER";"' WHERE KEY_PERFILES = ''frmMtoAppParam'' ' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\Core\inMtoAppParam.pas";590;"USUARIO_GRUPO_PERFILES";"USUARIO_GRUPO_USUPER";"' ORDER BY USUARIO_GRUPO_PERFILES';"
"C:\DISCO_DURO\proyectos\Factuzam\src\Core\inMtoCajaParam.pas";280;"SUBKEY_PERFILES";"SUBKEY_USUPER";"SubKey := qry.FieldByName('SUBKEY_PERFILES').AsString;"
"C:\DISCO_DURO\proyectos\Factuzam\src\Core\inMtoCajaParam.pas";281;"VALUE_PERFILES";"VALUE_USUPER";"ValorStr := qry.FieldByName('VALUE_PERFILES').AsString;"
"C:\DISCO_DURO\proyectos\Factuzam\src\Core\inMtoCajaParam.pas";470;"USUARIO_GRUPO_PERFILES";"USUARIO_GRUPO_USUPER";"qry.SQL.Text := 'SELECT DISTINCT USUARIO_GRUPO_PERFILES FROM fza_usuarios_perfiles WHERE KEY_PERFILES = ''frmMtoCajaParam'' ORDER BY USUARIO_GRUPO_PERFILES';"
"C:\DISCO_DURO\proyectos\Factuzam\src\Core\inMtoCajaParam.pas";470;"USUARIO_GRUPO_PERFILES";"USUARIO_GRUPO_USUPER";"qry.SQL.Text := 'SELECT DISTINCT USUARIO_GRUPO_PERFILES FROM fza_usuarios_perfiles WHERE KEY_PERFILES = ''frmMtoCajaParam'' ORDER BY USUARIO_GRUPO_PERFILES';"
"C:\DISCO_DURO\proyectos\Factuzam\src\Core\inMtoCajaParam.pas";470;"KEY_PERFILES";"KEY_USUPER";"qry.SQL.Text := 'SELECT DISTINCT USUARIO_GRUPO_PERFILES FROM fza_usuarios_perfiles WHERE KEY_PERFILES = ''frmMtoCajaParam'' ORDER BY USUARIO_GRUPO_PERFILES';"
