OldName;NewName
CODIGO_ALMACEN_ALM;CODIGO_ALM
CODIGO_EMPRESA_ALM;CODIGO_EMP_ALM
NOMBRE_ALMACEN_ALM;NOMBRE_ALM
CODIGO_CLIENTE_ALM;CODIGO_CLI_ALM
ALMACEN_DESTINO_ACTUAL_ALM;DESTINO_ACTUAL_ALM
ALMACEN_ORIGEN_ACTUAL_ALM;ORIGEN_ACTUAL_ALM
INSTANTEMODIF;INSTANTE_MODIF
INSTANTEALTA;INSTANTE_ALTA
USUARIOALTA;USUARIO_ALTA
USUARIOMODIF;USUARIO_MODIF
CODIGO_ALMACEN_ALMCAJ;CODIGO_ALM_ALMCAJ
CODIGO_ARTICULO;CODIGO_ART
ACTIVO_ARTICULO;ESACTIVO_ART
TIPO_ARTICULO;TIPO_ART
DESCRIPCION_ARTICULO;DESCRIPCION_ART
CODIGO_FAMILIA_ARTICULO;CODIGO_FAM_ART
TIPOIVA_ARTICULO;TIPO_IVA_ART
ESACTIVO_FIJO_ARTICULO;ESACTIVO_FIJO_ART
TIPO_CANTIDAD_ARTICULO;TIPO_CANTIDAD_ART
ESVARIACION_ARTICULO;ESVARIACION_ART
ESTRAZABLE_ARTICULO;ESTRAZABLE_ART
ORDEN_ARTICULO;ORDEN_ART
TIPO_VARIACION_ARTICULO;TIPO_VARIACION_ART
CODIGO_ARTICULO_ACA;CODIGO_ART_ACA
ID_CONJUNTO_ACA;ID_AC_ACA
ID_ATRIBUTO_ACA;ID_VA_ACA
ES_GENERACION_AUTO;ESGENERACION_AUTO_ACA
CODIGO_FAMILIA;CODIGO_FAM
ACTIVO_FAMILIA;ESACTIVO_FAM
ORDEN_FAMILIA;ORDEN_FAM
ESDEFAULT_FAMILIA;ESDEFAULT_FAM
CODIGO_SUBFAMILIA;CODIGO_SUBFAMILIA_FAM
NOMBRE_FAMILIA;NOMBRE_FAM
DESCRIPCION_FAMILIA;DESCRIPCION_FAM
CONTADOR_ART_FAMILIA;CONTADOR_ART_FAM
ESCONTADOR_ART_FAMILIA;ESCONTADOR_ART_FAM
CODIGO_PROPIEDAD;CODIGO_PROP_ARTPROP
ID_VALOR_PV;ID_PV_ARTPROP
VALOR_LIBRE;VALOR_LIBRE_ARTPROP
CODIGO_PROVEEDOR_ARTICULO_PROVEEDOR;CODIGO_PRV_AP
CODIGO_ARTICULO_ARTICULO_PROVEEDOR;CODIGO_ART_AP
REF_PROVEEDOR_ARTICULO_PROVEEDOR;REF_PROVEEDOR_AP
PRECIO_ULT_COMPRA_ARTICULO_PROVEEDOR;PRECIO_ULT_COMPRA_AP
FECHA_VALIDEZ_ARTICULO_PROVEEDOR;FECHA_VALIDEZ_AP
ESPROVEEDORPRINCIPAL_ARTICULO_PROVEEDOR;ESPROVEEDORPRINCIPAL_AP
CODIGO_ARTICULO_SKU;CODIGO_ART_SKU
CODIGO_ALMACEN_STK;CODIGO_ALM_STK
CANTIDAD_PTE_RECIBIR;CANTIDAD_PTE_RECIBIR_STK
CANTIDAD_PTE_SERVIR;CANTIDAD_PTE_SERVIR_STK
CANTIDAD_PTE_TRASPASAR;CANTIDAD_PTE_TRASPASAR_STK
CANTIDAD_PTE_RECTRASPASAR;CANTIDAD_PTE_RECTRASPASAR_STK
CODIGO_ARTICULO_TARIFA;CODIGO_ART_ARTTAR
CODIGO_UNICO_TARIFA;CODIGO_UNICO_ARTTAR
CODIGO_UNIDAD_TARIFA;CODIGO_UNIDAD_ARTTAR
CODIGO_TARIFA;CODIGO_TAR_ARTTAR
ACTIVO_TARIFA;ESACTIVO_ARTTAR
PRECIOSALIDA_TARIFA;PRECIO_SALIDA_ARTTAR
PRECIOFINAL_TARIFA;PRECIO_FINAL_ARTTAR
PRECIO_DTO_TARIFA;PRECIO_DTO_ARTTAR
PORCEN_DTO_TARIFA;PORCENTAJE_DTO_ARTTAR
FECHA_DESDE_TARIFA;FECHA_DESDE_ARTTAR
FECHA_HASTA_TARIFA;FECHA_HASTA_ARTTAR
ID_VINCULO;ID_ARTVIN
CODIGO_ARTICULO_PADRE;CODIGO_ART_PADRE_ARTVIN
CODIGO_ARTICULO_HIJO;CODIGO_ART_HIJO_ARTVIN
CANTIDAD;CANTIDAD_ARTVIN
ORDEN_VISUAL;ORDEN_VISUAL_ARTVIN
ES_OBLIGATORIO;ESOBLIGATORIO_ARTVIN
ID_BASICO;ID_ATB
ID_VA_BASICO;ID_VA_ATB
CODIGO_BASICO;CODIGO_ATB
NOMBRE_BASICO;NOMBRE_ATB
EXTRA_BASICO;EXTRA_ATB
ORDEN_BASICO;ORDEN_ATB
ESACTIVO_BASICO;ESACTIVO_ATB
ID_CONJUNTO_AC;ID_AC
ID_VARIACION_AC;ID_VAR_AC
ID_ATRIBUTO_AC;ID_VA_AC
ID_CONJUNTO_ACD;ID_AC_ACD
ID_VALOR_ACD;ID_AV_ACD
CODIGO_UNIDAD_SA;CODIGO_UNIDAD_SKU_SA
ID_VALOR_SA;ID_AV_SA
ID_VALOR_AV;ID_AV
VALOR_AV;AV
CODIGO_ARTICULO_EXTRA;CODIGO_ART_EXTRA_AV
ID_INFO;ID_AVI
ID_VALOR_AV_INFO;ID_AV_AVI
CLAVE_INFO;CLAVE_AVI
VALOR_INFO;VALOR_AVI
CODIGO_FORMAP;CODIGO_FP_CFP
DESCRIPCION_FORMAP;DESCRIPCION_FORMA_PAGO_CFP
ES_REQ_REFERENCIA_FORMAP;ESREQ_REFERENCIA_FORMA_PAGO_CFP
ES_CRIPTO_FORMAP;ESCRIPTO_FORMA_PAGO_CFP
RED_BLOCKCHAIN_FORMAP;RED_BLOCKCHAIN_FORMA_PAGO_CFP
HASH_BOCKCHAIN_FORMAP;HASH_BLOCKCHAIN_FORMA_PAGO_CFP
ESDIVISA_FORMAP;ESDIVISA_FORMA_PAGO_CFP
ES_DEVUELVE_CAMBIO_FORMAP;ESDEVUELVE_CAMBIO_FORMA_PAGO_CFP
ES_ABRE_CAJON_FORMAP;ESABRE_CAJON_FORMA_PAGO_CFP
ES_ACTIVO_FORMAP;ESACTIVO_FORMA_PAGO_CFP
PORCEN_COMISION_FORMAP;PORCENTAJE_COMISION_FORMA_PAGO_CFP
ESCOMISION_INCL_FORMAP;ESCOMISION_INCL_FORMA_PAGO_CFP
NUM_COD_DIGIT_FORMAP;NUM_COD_DIGIT_FORMA_PAGO_CFP
ORDEN_VISUAL_FORMAP;ORDEN_VISUAL_FORMA_PAGO_CFP
CODIGO_EMPRESA_OPCAJA;CODIGO_EMP_OPCAJA
CODIGO_ALMACEN_OPCAJA;CODIGO_ALM_OPCAJA
NRO_FACTURA_OPCAJA;NUMERO_FAC_OPCAJA
SERIE_FACTURA_OPCAJA;SERIE_FAC_OPCAJA
