# Informe de auditoría (pasada B - revisar manualmente)
# Generado: 2026-05-04 08:53:25
# Total ocurrencias: 7026
# Formato: ARCHIVO | LINEA | OLD -> NEW | CONTEXTO | MOTIVO | TEXTO

C:\DISCO_DURO\proyectos\Factuzam\src\Core\inMtoAppParam.pas | 409 | KEY_PERFILES -> KEY_USUPER | SUBKEY_PERFILES | prefijo | SubKey   := qry.FieldByName('SUBKEY_PERFILES').AsString;
C:\DISCO_DURO\proyectos\Factuzam\src\Core\inMtoCajaParam.pas | 280 | KEY_PERFILES -> KEY_USUPER | SUBKEY_PERFILES | prefijo | SubKey := qry.FieldByName('SUBKEY_PERFILES').AsString;
C:\DISCO_DURO\proyectos\Factuzam\src\Core\inMtoLogon.pas | 528 | KEY_PERFILES -> KEY_USUPER | SUBKEY_PERFILES | prefijo | //                          ' WHERE SUBKEY_PERFILES = ' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm | 9 | CODIGO_EMPRESA -> CODIGO_EMP | CODIGO_EMPRESA_ALM | sufijo | '  (CODIGO_ALMACEN_ALM, CODIGO_EMPRESA_ALM, ESACTIVO_ALM, NOMBRE_' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm | 12 | CODIGO_CLIENTE -> CODIGO_CLI | CODIGO_CLIENTE_ALM | sufijo | 'ALM, CODIGO_CLIENTE_ALM, ALMACEN_DESTINO_ACTUAL_ALM, ALMACEN_ORI' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm | 17 | CODIGO_EMPRESA -> CODIGO_EMP | CODIGO_EMPRESA_ALM | sufijo | '  (:CODIGO_ALMACEN_ALM, :CODIGO_EMPRESA_ALM, :ESACTIVO_ALM, :NOM' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm | 20 | CODIGO_CLIENTE -> CODIGO_CLI | CODIGO_CLIENTE_ALM | sufijo | 'ALM, :EMAIL_ALM, :CODIGO_CLIENTE_ALM, :ALMACEN_DESTINO_ACTUAL_AL' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm | 26 | CODIGO_ALMACEN_ALM -> CODIGO_ALM | Old_CODIGO_ALMACEN_ALM | prefijo | '  CODIGO_ALMACEN_ALM = :Old_CODIGO_ALMACEN_ALM')
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm | 31 | CODIGO_EMPRESA -> CODIGO_EMP | CODIGO_EMPRESA_ALM | sufijo | '  CODIGO_ALMACEN_ALM = :CODIGO_ALMACEN_ALM, CODIGO_EMPRESA_ALM =' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm | 32 | CODIGO_EMPRESA -> CODIGO_EMP | CODIGO_EMPRESA_ALM | sufijo | ' :CODIGO_EMPRESA_ALM, ESACTIVO_ALM = :ESACTIVO_ALM, NOMBRE_ALMAC' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm | 37 | CODIGO_CLIENTE -> CODIGO_CLI | CODIGO_CLIENTE_ALM | sufijo | '_ALM, EMAIL_ALM = :EMAIL_ALM, CODIGO_CLIENTE_ALM = :CODIGO_CLIEN' +
