tabla,columna_actual,columna_nueva,cambia,definicion
fza_almacenes,CODIGO_ALMACEN_ALM,CODIGO_ALM,SI,varchar(10) NOT NULL
fza_almacenes,CODIGO_EMPRESA_ALM,CODIGO_EMP_ALM,SI,varchar(20) NOT NULL
fza_almacenes,ESACTIVO_ALM,ESACTIVO_ALM,NO,varchar(1) NULL DEFAULT 'S'
fza_almacenes,NOMBRE_ALMACEN_ALM,NOMBRE_ALM,SI,varchar(100) NULL DEFAULT NULL
fza_almacenes,CODIGO_PADRE_ALM,CODIGO_PADRE_ALM,NO,varchar(10) NULL DEFAULT NULL
fza_almacenes,ESFISICO_ALM,ESFISICO_ALM,NO,varchar(1) NULL DEFAULT 'S'
fza_almacenes,TIPO_USO_ALM,TIPO_USO_ALM,NO,varchar(20) NULL DEFAULT 'ESTANDAR'
fza_almacenes,DIRECCION_ALM,DIRECCION_ALM,NO,varchar(200) NULL DEFAULT NULL
fza_almacenes,POBLACION_ALM,POBLACION_ALM,NO,varchar(200) NULL DEFAULT NULL
fza_almacenes,CODIGO_POSTAL_ALM,CODIGO_POSTAL_ALM,NO,varchar(10) NULL DEFAULT NULL
fza_almacenes,TELEFONO_ALM,TELEFONO_ALM,NO,varchar(50) NULL DEFAULT NULL
fza_almacenes,EMAIL_ALM,EMAIL_ALM,NO,varchar(100) NULL DEFAULT NULL
fza_almacenes,CODIGO_CLIENTE_ALM,CODIGO_CLI_ALM,SI,varchar(20) NULL DEFAULT NULL
fza_almacenes,ALMACEN_DESTINO_ACTUAL_ALM,DESTINO_ACTUAL_ALM,SI,varchar(10) NULL DEFAULT NULL COMMENT 'Hacia dónde va la mercancía (Pendiente de recibir)'
fza_almacenes,ALMACEN_ORIGEN_ACTUAL_ALM,ORIGEN_ACTUAL_ALM,SI,varchar(10) NULL DEFAULT NULL COMMENT 'De dónde viene la mercancía cargada'
fza_almacenes,ORDEN_ALM,ORDEN_ALM,NO,int(11) NULL DEFAULT NULL
fza_almacenes,INSTANTEMODIF,INSTANTE_MODIF,SI,timestamp NOT NULL DEFAULT current_timestamp() ON UPDATE CURRENT_TIMESTAMP
fza_almacenes,INSTANTEALTA,INSTANTE_ALTA,SI,timestamp NOT NULL DEFAULT '0000-00-00 00:00:00'
fza_almacenes,USUARIOALTA,USUARIO_ALTA,SI,varchar(100) NOT NULL
fza_almacenes,USUARIOMODIF,USUARIO_MODIF,SI,varchar(100) NOT NULL
fza_almacenes,PROVINCIA_ALM,PROVINCIA_ALM,NO,varchar(200) NULL DEFAULT NULL
fza_almacenes_cajas,CODIGO_ALMACEN_ALMCAJ,CODIGO_ALM_ALMCAJ,SI,varchar(10) NOT NULL
fza_almacenes_cajas,CODIGO_CAJA_ALMCAJ,CODIGO_CAJA_ALMCAJ,NO,varchar(10) NOT NULL
fza_almacenes_cajas,DESCRIPCION_ALMCAJ,DESCRIPCION_ALMCAJ,NO,varchar(100) NULL DEFAULT NULL
fza_articulos,CODIGO_ARTICULO,CODIGO_ART,SI,varchar(20) NOT NULL
fza_articulos,ACTIVO_ARTICULO,ESACTIVO_ART,SI,varchar(1) NOT NULL DEFAULT 'S'
fza_articulos,TIPO_ARTICULO,TIPO_ART,SI,"varchar(10) NOT NULL DEFAULT 'ESTANDAR' COMMENT 'ESTANDAR=Físico (Control Stock), SERVICIO=Intangible (Sin Stock), KIT=Pack'"
fza_articulos,DESCRIPCION_ARTICULO,DESCRIPCION_ART,SI,varchar(1000) NOT NULL
fza_articulos,CODIGO_FAMILIA_ARTICULO,CODIGO_FAM_ART,SI,varchar(20) NULL DEFAULT NULL
fza_articulos,TIPOIVA_ARTICULO,TIPO_IVA_ART,SI,varchar(2) NOT NULL
