level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	2	0	0	0	0	0	0	3509	2480	-1	
2	2	1	0	0	0	2207	48	260	25	-1	
3	2	1	1	0	0	2207	48	260	25	-1	
4	2	1	1	1	0	2207	48	260	25	-1	
5	2	1	1	1	1	2207	48	111	25	93.182014	FECHA
5	2	1	1	1	2	2337	48	130	25	93.182014	PEDIDO
2	2	2	0	0	0	2844	48	231	25	-1	
3	2	2	1	0	0	2844	48	231	25	-1	
4	2	2	1	1	0	2844	48	231	25	-1	
5	2	2	1	1	1	2844	48	231	25	91.228203	NUM.PEDIDO
2	2	3	0	0	0	2218	97	155	24	-1	
3	2	3	1	0	0	2218	97	155	24	-1	
4	2	3	1	1	0	2218	97	155	24	-1	
5	2	3	1	1	1	2218	97	155	24	92.838615	07/10/2024
2	2	4	0	0	0	2625	97	99	24	-1	
3	2	4	1	0	0	2625	97	99	24	-1	
4	2	4	1	1	0	2625	97	99	24	-1	
5	2	4	1	1	1	2625	97	99	24	68.784447	V/2025
2	2	5	0	0	0	3044	97	130	24	-1	
3	2	5	1	0	0	3044	97	130	24	-1	
4	2	5	1	1	0	3044	97	130	24	-1	
5	2	5	1	1	1	3044	97	130	24	92.671364	PAS5040
2	2	6	0	0	0	3252	97	91	30	-1	
3	2	6	1	0	0	3252	97	91	30	-1	
4	2	6	1	1	0	3252	97	91	30	-1	
5	2	6	1	1	1	3252	97	54	30	94.595795	Pag:
5	2	6	1	1	2	3327	97	16	23	94.595795	2
2	2	7	0	0	0	79	100	662	134	-1	
3	2	7	1	0	0	79	100	662	134	-1	
4	2	7	1	1	0	79	100	662	134	-1	
5	2	7	1	1	1	79	100	119	134	0.000000	HIT
5	2	7	1	1	2	212	104	529	126	0.000000	SPANITAS
2	2	8	0	0	0	2212	192	139	25	-1	
3	2	8	1	0	0	2212	192	139	25	-1	
4	2	8	1	1	0	2212	192	139	25	-1	
5	2	8	1	1	1	2212	192	139	25	92.758011	AGENTE
2	2	9	0	0	0	3057	193	186	24	-1	
3	2	9	1	0	0	3057	193	186	24	-1	
4	2	9	1	1	0	3057	193	186	24	-1	
5	2	9	1	1	1	3057	193	186	24	92.133698	F.SERVICIO
2	2	10	0	0	0	75	195	123	36	-1	
3	2	10	1	0	0	75	195	123	36	-1	
4	2	10	1	1	0	75	195	123	36	-1	
5	2	10	1	1	1	75	195	123	36	27.161880	ey
2	2	11	0	0	0	259	195	375	36	-1	
3	2	11	1	0	0	259	195	375	36	-1	
4	2	11	1	1	0	259	195	375	36	-1	
5	2	11	1	1	1	259	195	139	36	9.062492	EA
5	2	11	1	1	2	457	195	177	36	45.403309	EO
2	2	12	0	0	0	2219	235	41	23	-1	
3	2	12	1	0	0	2219	235	41	23	-1	
4	2	12	1	1	0	2219	235	41	23	-1	
5	2	12	1	1	1	2219	235	41	23	96.867790	PA
2	2	13	0	0	0	3065	235	154	24	-1	
3	2	13	1	0	0	3065	235	154	24	-1	
4	2	13	1	1	0	3065	235	154	24	-1	
5	2	13	1	1	1	3065	235	154	24	92.308891	15/02/2025
2	2	14	0	0	0	429	296	2580	39	-1	
3	2	14	1	0	0	429	296	2580	39	-1	
4	2	14	1	1	0	429	296	2580	39	-1	
5	2	14	1	1	1	429	300	143	27	91.971817	EMBOGA,
5	2	14	1	1	2	584	300	43	24	90.807724	S.A
5	2	14	1	1	3	646	300	61	24	80.563972	..Avda
5	2	14	1	1	4	719	300	30	24	96.866791	de
5	2	14	1	1	5	760	300	19	24	93.225121	la
5	2	14	1	1	6	791	300	88	24	96.425095	libertad,
5	2	14	1	1	7	896	302	75	22	96.679245	44-45
5	2	14	1	1	8	983	300	32	24	94.334625	Pol.
5	2	14	1	1	9	1031	300	34	24	95.536186	Ind
5	2	14	1	1	10	1081	300	176	31	89.958221	SalinetasApdo
5	2	14	1	1	11	1272	302	128	22	92.085716	48-03610
5	2	14	1	1	12	1411	303	81	21	92.022453	PETRER
5	2	14	1	1	13	1502	299	133	28	93.267876	(ALICANTE)
5	2	14	1	1	14	1647	303	151	21	38.908936	ESPANAC.I.F.
