level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	2	0	0	0	0	0	0	3509	2480	-1	
2	2	1	0	0	0	2207	48	260	25	-1	
3	2	1	1	0	0	2207	48	260	25	-1	
4	2	1	1	1	0	2207	48	260	25	-1	
5	2	1	1	1	1	2207	48	111	25	93.182014	FECHA
5	2	1	1	1	2	2337	48	130	25	93.182014	PEDIDO
2	2	2	0	0	0	2844	39	231	34	-1	
3	2	2	1	0	0	2844	39	231	34	-1	
4	2	2	1	1	0	2844	39	231	34	-1	
5	2	2	1	1	1	2844	39	231	34	89.164665	NÚM.PEDIDO
2	2	3	0	0	0	2218	97	155	24	-1	
3	2	3	1	0	0	2218	97	155	24	-1	
4	2	3	1	1	0	2218	97	155	24	-1	
5	2	3	1	1	1	2218	97	155	24	92.271179	07/03/2025
2	2	4	0	0	0	2627	97	95	24	-1	
3	2	4	1	0	0	2627	97	95	24	-1	
4	2	4	1	1	0	2627	97	95	24	-1	
5	2	4	1	1	1	2627	97	95	24	91.382111	1/25-26
2	2	5	0	0	0	3044	97	139	24	-1	
3	2	5	1	0	0	3044	97	139	24	-1	
4	2	5	1	1	0	3044	97	139	24	-1	
5	2	5	1	1	1	3044	97	139	24	80.675430	PAW5022
2	2	6	0	0	0	3252	97	91	30	-1	
3	2	6	1	0	0	3252	97	91	30	-1	
4	2	6	1	1	0	3252	97	91	30	-1	
5	2	6	1	1	1	3252	97	63	30	94.595795	Pag:
5	2	6	1	1	2	3327	97	16	23	94.595795	2
2	2	7	0	0	0	79	104	662	71	-1	
3	2	7	1	0	0	79	104	662	71	-1	
4	2	7	1	1	0	79	104	662	71	-1	
5	2	7	1	1	1	79	104	662	71	89.663445	HISPANITAS
2	2	8	0	0	0	75	195	123	36	-1	
3	2	8	1	0	0	75	195	123	36	-1	
4	2	8	1	1	0	75	195	123	36	-1	
5	2	8	1	1	1	75	195	123	36	27.161880	ey
2	2	9	0	0	0	259	195	476	36	-1	
3	2	9	1	0	0	259	195	476	36	-1	
4	2	9	1	1	0	259	195	476	36	-1	
5	2	9	1	1	1	259	195	50	36	20.106003	IS
5	2	9	1	1	2	465	195	136	36	34.336342	ClO
5	2	9	1	1	3	647	191	88	56	48.863377	Cle
2	2	10	0	0	0	2212	192	139	25	-1	
3	2	10	1	0	0	2212	192	139	25	-1	
4	2	10	1	1	0	2212	192	139	25	-1	
5	2	10	1	1	1	2212	192	139	25	92.758011	AGENTE
2	2	11	0	0	0	3057	193	186	24	-1	
3	2	11	1	0	0	3057	193	186	24	-1	
4	2	11	1	1	0	3057	193	186	24	-1	
5	2	11	1	1	1	3057	193	186	24	92.133698	F.SERVICIO
2	2	12	0	0	0	2219	235	41	23	-1	
3	2	12	1	0	0	2219	235	41	23	-1	
4	2	12	1	1	0	2219	235	41	23	-1	
5	2	12	1	1	1	2219	235	41	23	95.375000	PA
2	2	13	0	0	0	3065	235	154	24	-1	
3	2	13	1	0	0	3065	235	154	24	-1	
4	2	13	1	1	0	3065	235	154	24	-1	
5	2	13	1	1	1	3065	235	154	24	96.545067	15/08/2025
2	2	14	0	0	0	429	296	2580	39	-1	
3	2	14	1	0	0	429	296	2580	39	-1	
4	2	14	1	1	0	429	296	2580	39	-1	
5	2	14	1	1	1	429	300	143	27	92.472603	EMBOGA,
5	2	14	1	1	2	584	300	43	24	93.200180	S.A
5	2	14	1	1	3	637	300	70	24	77.740479	.Avda
5	2	14	1	1	4	719	300	30	24	97.008308	de
5	2	14	1	1	5	760	300	19	24	93.132278	la
5	2	14	1	1	6	791	300	94	27	96.294495	libertad,
5	2	14	1	1	7	896	302	75	22	96.824585	44-45
5	2	14	1	1	8	983	300	37	24	73.944580	Poll.
5	2	14	1	1	9	1031	300	40	24	95.539009	Ind.
5	2	14	1	1	10	1081	296	181	39	88.571144	SalinetasApdo.
5	2	14	1	1	11	1272	302	128	22	91.677299	48-03610
5	2	14	1	1	12	1411	303	81	21	92.197456	PETRER
5	2	14	1	1	13	1502	299	133	28	92.601814	(ALICANTE)
5	2	14	1	1	14	1646	298	157	26	50.699417	ESPANAC.I.F.
