level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	3	0	0	0	0	0	0	3509	2480	-1	
2	3	1	0	0	0	75	195	186	36	-1	
3	3	1	1	0	0	75	195	186	36	-1	
4	3	1	1	1	0	75	195	186	36	-1	
5	3	1	1	1	1	75	195	186	36	62.522152	Oo
2	3	2	0	0	0	79	104	408	127	-1	
3	3	2	1	0	0	79	104	408	127	-1	
4	3	2	1	1	0	79	104	394	71	-1	
5	3	2	1	1	1	79	104	394	71	91.663849	HISPAN
4	3	2	1	2	0	288	195	199	36	-1	
5	3	2	1	2	1	288	195	199	36	45.633183	Se
2	3	3	0	0	0	514	105	26	125	-1	
3	3	3	1	0	0	514	105	26	125	-1	
4	3	3	1	1	0	523	105	7	69	-1	
5	3	3	1	1	1	523	105	7	69	95.488876	|
4	3	3	1	2	0	514	196	26	34	-1	
5	3	3	1	2	1	514	196	26	34	93.086250	H
2	3	4	0	0	0	568	104	173	127	-1	
3	3	4	1	0	0	568	104	173	127	-1	
4	3	4	1	1	0	568	104	173	71	-1	
5	3	4	1	1	1	568	104	173	71	95.464378	TAS
4	3	4	1	2	0	568	195	167	36	-1	
5	3	4	1	2	1	568	195	167	36	25.217171	ONO
2	3	5	0	0	0	2207	48	260	25	-1	
3	3	5	1	0	0	2207	48	260	25	-1	
4	3	5	1	1	0	2207	48	260	25	-1	
5	3	5	1	1	1	2207	48	111	25	93.182014	FECHA
5	3	5	1	1	2	2337	48	130	25	93.182014	PEDIDO
2	3	6	0	0	0	2218	39	857	82	-1	
3	3	6	1	0	0	2218	39	857	82	-1	
4	3	6	1	1	0	2844	39	231	34	-1	
5	3	6	1	1	1	2844	39	231	34	89.164665	NÚM.PEDIDO
4	3	6	1	2	0	2218	97	155	24	-1	
5	3	6	1	2	1	2218	97	155	24	92.385674	07/03/2025
2	3	7	0	0	0	2627	97	716	30	-1	
3	3	7	1	0	0	2627	97	716	30	-1	
4	3	7	1	1	0	2627	97	716	30	-1	
