level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	2	0	0	0	0	0	0	2480	3509	-1	
2	2	1	0	0	0	174	94	658	29	-1	
3	2	1	1	0	0	174	91	658	32	-1	
4	2	1	1	1	0	174	94	658	29	-1	
5	2	1	1	1	1	174	106	7	4	56.926647	S
5	2	1	1	1	2	569	95	121	25	89.379913	ALBION
5	2	1	1	1	3	704	95	83	28	92.458794	1879,
5	2	1	1	1	4	797	94	35	24	90.204277	SL
2	2	2	0	0	0	570	176	300	24	-1	
3	2	2	1	0	0	570	176	300	24	-1	
4	2	2	1	1	0	570	176	300	24	-1	
5	2	2	1	1	1	566	172	65	37	95.949509	GRAN
5	2	2	1	1	2	646	172	56	37	95.877518	VIA,
5	2	2	1	1	3	713	177	11	20	95.253670	1
5	2	2	1	1	4	738	176	11	21	93.274643	S
5	2	2	1	1	5	759	176	111	24	92.519493	DERECHA
2	2	3	0	0	0	1332	182	983	23	-1	
3	2	3	1	0	0	1332	182	983	23	-1	
4	2	3	1	1	0	1332	182	983	23	-1	
5	2	3	1	1	1	1332	182	983	23	95.000000	 
2	2	4	0	0	0	1332	252	982	27	-1	
3	2	4	1	0	0	1332	252	982	27	-1	
4	2	4	1	1	0	1332	252	982	27	-1	
5	2	4	1	1	1	1332	252	982	27	95.000000	 
2	2	5	0	0	0	1331	309	983	27	-1	
3	2	5	1	0	0	1331	309	983	27	-1	
4	2	5	1	1	0	1331	309	983	27	-1	
5	2	5	1	1	1	1331	309	983	27	95.000000	 
2	2	6	0	0	0	1328	186	13	239	-1	
3	2	6	1	0	0	1328	186	13	239	-1	
4	2	6	1	1	0	1328	186	13	239	-1	
5	2	6	1	1	1	1328	186	13	239	95.000000	 
2	2	7	0	0	0	1876	263	12	168	-1	
3	2	7	1	0	0	1876	263	12	168	-1	
4	2	7	1	1	0	1876	263	12	168	-1	
5	2	7	1	1	1	1876	263	12	168	95.000000	 
2	2	8	0	0	0	1332	412	982	29	-1	
3	2	8	1	0	0	1332	412	982	29	-1	
4	2	8	1	1	0	1332	412	982	29	-1	
5	2	8	1	1	1	1332	412	982	29	95.000000	 
2	2	9	0	0	0	254	436	2062	61	-1	
3	2	9	1	0	0	254	436	2062	61	-1	
4	2	9	1	1	0	254	436	2062	61	-1	
5	2	9	1	1	1	254	436	2062	61	95.000000	 
2	2	10	0	0	0	243	478	2074	64	-1	
3	2	10	1	0	0	243	478	2074	64	-1	
4	2	10	1	1	0	243	478	2074	64	-1	
