level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2480	3509	-1	
2	1	1	0	0	0	84	67	826	74	-1	
3	1	1	1	0	0	84	67	826	74	-1	
4	1	1	1	1	0	84	67	826	74	-1	
5	1	1	1	1	1	84	68	290	60	92.683540	AZNAR
5	1	1	1	1	2	403	67	330	74	91.310043	INNOVA,
5	1	1	1	1	3	766	67	144	62	85.773216	S.L.
2	1	2	0	0	0	83	164	536	96	-1	
3	1	2	1	0	0	83	164	536	96	-1	
4	1	2	1	1	0	83	164	536	33	-1	
5	1	2	1	1	1	83	165	107	27	92.212456	AVDA.
5	1	2	1	1	2	206	164	166	30	92.015274	ENRIQUE
5	1	2	1	1	3	387	164	157	33	91.200699	GIMENO,
5	1	2	1	1	4	562	165	57	28	96.757820	108
4	1	2	1	2	0	87	231	370	29	-1	
5	1	2	1	2	1	87	232	99	28	83.761009	12006
5	1	2	1	2	2	239	231	218	29	85.201454	CASTELLON
2	1	3	0	0	0	86	323	412	29	-1	
3	1	3	1	0	0	86	323	412	29	-1	
4	1	3	1	1	0	86	323	412	29	-1	
5	1	3	1	1	1	86	323	127	29	90.301361	NIF/CIF
5	1	3	1	1	2	315	324	183	28	91.431259	B12648531
2	1	4	0	0	0	84	394	414	87	-1	
3	1	4	1	0	0	84	394	414	87	-1	
4	1	4	1	1	0	84	394	414	29	-1	
5	1	4	1	1	1	84	394	140	29	92.209976	Teléfono
5	1	4	1	1	2	314	395	184	28	96.422447	964201414
4	1	4	1	2	0	86	453	88	28	-1	
5	1	4	1	2	1	86	453	88	28	92.416412	Email
2	1	5	0	0	0	84	494	1881	54	-1	
3	1	5	1	0	0	84	494	1881	54	-1	
4	1	5	1	1	0	84	494	1881	54	-1	
5	1	5	1	1	1	84	511	74	28	91.967102	Web
5	1	5	1	1	2	313	502	372	46	84.551208	www.aznarinnova.com
5	1	5	1	1	3	1692	494	93	28	91.627998	Datos
5	1	5	1	1	4	1798	494	47	28	93.299683	del
5	1	5	1	1	5	1859	494	106	28	91.841171	cliente
2	1	6	0	0	0	1273	560	520	88	-1	
3	1	6	1	0	0	1273	560	520	88	-1	
4	1	6	1	1	0	1274	560	361	33	-1	
5	1	6	1	1	1	1274	560	284	33	92.712204	MONEDEROLID,
5	1	6	1	1	2	1573	560	62	29	90.536568	S.L.
4	1	6	1	2	0	1273	619	520	29	-1	
5	1	6	1	2	1	1273	619	36	29	89.979126	C/
5	1	6	1	2	2	1322	619	150	29	92.275490	NICASIO
5	1	6	1	2	3	1486	620	122	27	96.266968	PEREZ
5	1	6	1	2	4	1623	620	36	27	93.107986	14
5	1	6	1	2	5	1674	619	119	29	96.737122	LOCAL
2	1	7	0	0	0	232	677	1437	52	-1	
3	1	7	1	0	0	232	677	1437	52	-1	
4	1	7	1	1	0	232	677	1437	52	-1	
5	1	7	1	1	1	232	694	121	28	92.559494	Pedido
5	1	7	1	1	2	616	694	99	28	26.348488	Fade
5	1	7	1	1	3	942	694	113	35	58.511688	Pagina
5	1	7	1	1	4	1271	678	103	28	83.553223	47005
5	1	7	1	1	5	1412	661	10	58	40.679855	—
5	1	7	1	1	6	1442	677	227	29	53.035664	VALLADOLID
2	1	8	0	0	0	225	752	1441	34	-1	
3	1	8	1	0	0	225	752	1441	34	-1	
4	1	8	1	1	0	225	752	1441	34	-1	
5	1	8	1	1	1	225	758	127	28	92.419113	037-211
5	1	8	1	1	2	570	758	189	28	92.269341	27-07-2026
5	1	8	1	1	3	992	758	10	27	96.941681	1
5	1	8	1	1	4	1278	752	127	29	89.153442	NIF/CIF
5	1	8	1	1	5	1478	753	188	28	91.998047	B47486535
2	1	9	0	0	0	215	870	2154	29	-1	
3	1	9	1	0	0	215	870	2154	29	-1	
4	1	9	1	1	0	215	870	2154	29	-1	
5	1	9	1	1	1	215	870	158	29	92.425453	MODELO
5	1	9	1	1	2	1183	871	153	28	92.897301	TALLAJE
5	1	9	1	1	3	1349	871	10	27	93.075195	/
5	1	9	1	1	4	1382	870	238	29	92.819008	CANTIDADES
5	1	9	1	1	5	2229	870	140	29	91.607391	PRECIO
2	1	10	0	0	0	66	850	2352	71	-1	
3	1	10	1	0	0	66	850	2352	71	-1	
4	1	10	1	1	0	66	850	2352	71	-1	
5	1	10	1	1	1	66	850	2352	71	95.000000	 
2	1	11	0	0	0	418	939	1267	36	-1	
3	1	11	1	0	0	418	939	1267	36	-1	
4	1	11	1	1	0	418	939	1267	36	-1	
5	1	11	1	1	1	418	940	159	28	93.163010	22020E-0
5	1	11	1	1	2	686	940	71	27	90.584755	EXP
5	1	11	1	1	3	768	939	208	29	91.954575	TOBILLERO
5	1	11	1	1	4	991	939	159	29	92.480598	HOMBRE
5	1	11	1	1	5	1166	939	80	29	92.803429	LOIS
5	1	11	1	1	6	1257	940	99	27	93.229492	APEX
5	1	11	1	1	7	1369	940	116	35	93.020935	(Precio
5	1	11	1	1	8	1499	946	52	29	92.670380	por
5	1	11	1	1	9	1563	940	122	35	92.455688	unidad)
2	1	12	0	0	0	536	1010	1787	96	-1	
3	1	12	1	0	0	536	1010	1787	96	-1	
4	1	12	1	1	0	536	1010	1787	42	-1	
5	1	12	1	1	1	536	1018	165	29	91.481979	SURTIDO
5	1	12	1	1	2	827	1015	21	28	95.909966	U
5	1	12	1	1	3	2066	1010	76	42	92.148994	Total
5	1	12	1	1	4	2221	1019	102	28	93.195610	Precio
4	1	12	1	2	0	821	1070	1497	36	-1	
5	1	12	1	2	1	821	1070	36	27	96.946877	12
5	1	12	1	2	2	2088	1074	36	27	96.972801	12
5	1	12	1	2	3	2228	1073	90	33	92.215721	1,85€
2	1	13	0	0	0	418	1168	1327	36	-1	
3	1	13	1	0	0	418	1168	1327	36	-1	
4	1	13	1	1	0	418	1168	1327	36	-1	
