level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	5	0	0	0	0	0	0	2480	3505	-1	
2	5	1	0	0	0	150	112	1434	64	-1	
3	5	1	1	0	0	150	112	1434	64	-1	
4	5	1	1	1	0	150	112	1434	64	-1	
5	5	1	1	1	1	150	113	226	55	91.936516	RED
5	5	1	1	1	2	411	112	322	57	86.470032	POINT
5	5	1	1	1	3	1473	149	111	27	96.513489	004234
2	5	2	0	0	0	1474	199	502	82	-1	
3	5	2	1	0	0	1474	199	502	82	-1	
4	5	2	1	1	0	1474	199	309	31	-1	
5	5	2	1	1	1	1474	199	242	31	92.048019	MONEDEROLID,
5	5	2	1	1	2	1730	199	53	27	90.798218	S.L.
4	5	2	1	2	0	1474	240	502	41	-1	
5	5	2	1	2	1	1474	249	95	26	93.075493	PLAZA
5	5	2	1	2	2	1582	249	130	27	92.006126	MARCOS
5	5	2	1	2	3	1726	240	185	35	93.001495	FERNÁNDEZ
5	5	2	1	2	4	1923	248	53	33	92.660812	S/N
2	5	3	0	0	0	88	66	718	246	-1	
3	5	3	1	0	0	88	66	718	246	-1	
4	5	3	1	1	0	88	66	718	246	-1	
5	5	3	1	1	1	88	66	718	246	95.000000	 
2	5	4	0	0	0	1421	134	14	304	-1	
3	5	4	1	0	0	1421	134	14	304	-1	
4	5	4	1	1	0	1421	134	14	304	-1	
5	5	4	1	1	1	1421	134	14	304	95.000000	 
2	5	5	0	0	0	101	771	271	8	-1	
3	5	5	1	0	0	101	771	271	8	-1	
4	5	5	1	1	0	101	771	271	8	-1	
5	5	5	1	1	1	101	771	271	8	95.000000	 
2	5	6	0	0	0	101	844	271	8	-1	
3	5	6	1	0	0	101	844	271	8	-1	
4	5	6	1	1	0	101	844	271	8	-1	
5	5	6	1	1	1	101	844	271	8	95.000000	 
2	5	7	0	0	0	115	299	2257	619	-1	
3	5	7	1	0	0	115	299	2257	619	-1	
4	5	7	1	1	0	1472	299	522	27	-1	
5	5	7	1	1	1	1472	299	93	27	96.711288	47014
5	5	7	1	1	2	1796	299	198	27	91.745522	VALLADOLID
4	5	7	1	2	0	1471	353	198	27	-1	
5	5	7	1	2	1	1471	353	198	27	91.832718	VALLADOLID
4	5	7	1	3	0	132	393	1462	45	-1	
5	5	7	1	3	1	132	393	200	37	92.189354	GUASCH
5	5	7	1	3	2	353	393	220	37	92.900467	FASHION
5	5	7	1	3	3	592	393	188	45	84.407143	GROUP,
5	5	7	1	3	4	798	393	83	37	90.505096	S.L.
5	5	7	1	3	5	1474	400	120	35	93.205513	ESPAÑA
4	5	7	1	4	0	133	524	304	28	-1	
5	5	7	1	4	1	133	524	55	28	96.207138	Red
5	5	7	1	4	2	203	525	75	27	92.945038	Point
5	5	7	1	4	3	289	525	23	27	92.489624	&
5	5	7	1	4	4	323	524	114	28	93.109039	Onades
4	5	7	1	5	0	132	574	301	33	-1	
5	5	7	1	5	1	132	575	69	27	93.297081	Ctra.
