level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	6	0	0	0	0	0	0	2480	3505	-1	
2	6	1	0	0	0	150	112	583	57	-1	
3	6	1	1	0	0	150	112	583	57	-1	
4	6	1	1	1	0	150	112	583	57	-1	
5	6	1	1	1	1	150	112	227	56	91.936516	RED
5	6	1	1	1	2	411	112	322	57	86.470032	POINT
2	6	2	0	0	0	1473	149	111	27	-1	
3	6	2	1	0	0	1473	149	111	27	-1	
4	6	2	1	1	0	1473	149	111	27	-1	
5	6	2	1	1	1	1473	149	111	27	96.843323	004234
2	6	3	0	0	0	1474	199	309	31	-1	
3	6	3	1	0	0	1474	199	309	31	-1	
4	6	3	1	1	0	1474	199	309	31	-1	
5	6	3	1	1	1	1474	199	242	31	92.048019	MONEDEROLID,
5	6	3	1	1	2	1730	199	53	27	90.798218	S.L.
2	6	4	0	0	0	1474	240	502	41	-1	
3	6	4	1	0	0	1474	240	502	41	-1	
4	6	4	1	1	0	1474	240	502	41	-1	
5	6	4	1	1	1	1474	249	95	26	93.075493	PLAZA
5	6	4	1	1	2	1582	249	130	27	92.006126	MARCOS
5	6	4	1	1	3	1726	240	185	35	93.001495	FERNÁNDEZ
5	6	4	1	1	4	1923	248	53	33	92.660812	S/N
2	6	5	0	0	0	1472	299	93	27	-1	
3	6	5	1	0	0	1472	299	93	27	-1	
4	6	5	1	1	0	1472	299	93	27	-1	
5	6	5	1	1	1	1472	299	93	27	96.639442	47014
2	6	6	0	0	0	1796	299	198	27	-1	
3	6	6	1	0	0	1796	299	198	27	-1	
4	6	6	1	1	0	1796	299	198	27	-1	
5	6	6	1	1	1	1796	299	198	27	91.358650	VALLADOLID
2	6	7	0	0	0	1471	353	198	27	-1	
3	6	7	1	0	0	1471	353	198	27	-1	
4	6	7	1	1	0	1471	353	198	27	-1	
5	6	7	1	1	1	1471	353	198	27	91.822449	VALLADOLID
2	6	8	0	0	0	1474	400	120	35	-1	
3	6	8	1	0	0	1474	400	120	35	-1	
4	6	8	1	1	0	1474	400	120	35	-1	
5	6	8	1	1	1	1474	400	120	35	93.302704	ESPAÑA
2	6	9	0	0	0	132	393	749	45	-1	
3	6	9	1	0	0	132	393	749	45	-1	
4	6	9	1	1	0	132	393	749	45	-1	
5	6	9	1	1	1	132	393	200	37	92.542732	GUASCH
5	6	9	1	1	2	353	393	220	37	92.595215	FASHION
5	6	9	1	1	3	592	393	188	45	91.944016	GROUP,
5	6	9	1	1	4	798	393	83	37	91.536049	S.L.
2	6	10	0	0	0	133	524	304	28	-1	
3	6	10	1	0	0	133	524	304	28	-1	
4	6	10	1	1	0	133	524	304	28	-1	
5	6	10	1	1	1	133	524	55	28	96.538940	Red
5	6	10	1	1	2	203	525	75	27	92.541412	Point
5	6	10	1	1	3	289	525	23	27	92.541412	&
5	6	10	1	1	4	323	524	114	28	92.586823	Onades
2	6	11	0	0	0	132	574	301	33	-1	
3	6	11	1	0	0	132	574	301	33	-1	
4	6	11	1	1	0	132	574	301	33	-1	
5	6	11	1	1	1	132	575	69	27	93.297081	Ctra.
5	6	11	1	1	2	216	574	99	28	92.693199	Caldes
5	6	11	1	1	3	328	575	45	26	96.021034	Km
5	6	11	1	1	4	387	575	46	32	96.021034	0,2
2	6	12	0	0	0	135	624	377	34	-1	
3	6	12	1	0	0	135	624	377	34	-1	
4	6	12	1	1	0	135	624	377	34	-1	
5	6	12	1	1	1	135	625	89	27	93.294579	17240
5	6	12	1	1	2	239	624	163	34	92.258865	Llagostera,
5	6	12	1	1	3	416	625	96	27	96.854393	Girona
2	6	13	0	0	0	131	675	324	27	-1	
3	6	13	1	0	0	131	675	324	27	-1	
4	6	13	1	1	0	131	675	324	27	-1	
5	6	13	1	1	1	131	675	90	26	89.276688	V.A.T.
5	6	13	1	1	2	237	675	36	27	93.268654	ES
5	6	13	1	1	3	287	675	168	27	91.976364	B64584857
2	6	14	0	0	0	115	728	201	25	-1	
3	6	14	1	0	0	115	728	201	25	-1	
4	6	14	1	1	0	115	728	201	25	-1	
5	6	14	1	1	1	115	728	38	24	95.803650	N°
5	6	14	1	1	2	164	728	37	25	93.290077	de
5	6	14	1	1	3	212	728	104	25	92.160126	Pedido
2	6	15	0	0	0	499	728	88	25	-1	
3	6	15	1	0	0	499	728	88	25	-1	
4	6	15	1	1	0	499	728	88	25	-1	
5	6	15	1	1	1	499	728	88	25	96.537361	Fecha
2	6	16	0	0	0	1068	728	127	25	-1	
3	6	16	1	0	0	1068	728	127	25	-1	
4	6	16	1	1	0	1068	728	127	25	-1	
5	6	16	1	1	1	1068	729	23	23	92.521027	F.
5	6	16	1	1	2	1103	728	92	25	92.830559	Servir
2	6	17	0	0	0	1704	728	275	25	-1	
3	6	17	1	0	0	1704	728	275	25	-1	
4	6	17	1	1	0	1704	728	275	25	-1	
5	6	17	1	1	1	1704	728	104	25	93.224190	Pedido
5	6	17	1	1	2	1818	728	45	25	96.177879	del
5	6	17	1	1	3	1875	728	104	25	96.468857	cliente
2	6	18	0	0	0	2137	728	54	25	-1	
3	6	18	1	0	0	2137	728	54	25	-1	
4	6	18	1	1	0	2137	728	54	25	-1	
5	6	18	1	1	1	2137	728	54	25	93.228348	Ctrl
2	6	19	0	0	0	2287	727	64	32	-1	
3	6	19	1	0	0	2287	727	64	32	-1	
4	6	19	1	1	0	2287	727	64	32	-1	
5	6	19	1	1	1	2287	727	64	32	96.891579	Pag.
2	6	20	0	0	0	2168	805	35	27	-1	
3	6	20	1	0	0	2168	805	35	27	-1	
4	6	20	1	1	0	2168	805	35	27	-1	
5	6	20	1	1	1	2168	805	35	27	96.881889	50
2	6	21	0	0	0	2354	804	18	28	-1	
3	6	21	1	0	0	2354	804	18	28	-1	
4	6	21	1	1	0	2354	804	18	28	-1	
5	6	21	1	1	1	2354	804	18	28	96.872513	6
2	6	22	0	0	0	283	806	86	27	-1	
3	6	22	1	0	0	283	806	86	27	-1	
4	6	22	1	1	0	283	806	86	27	-1	
5	6	22	1	1	1	283	806	86	27	96.769516	8167
2	6	23	0	0	0	455	805	175	33	-1	
3	6	23	1	0	0	455	805	175	33	-1	
4	6	23	1	1	0	455	805	175	33	-1	
5	6	23	1	1	1	455	805	175	33	96.709564	29/07/2026
2	6	24	0	0	0	1043	805	175	33	-1	
3	6	24	1	0	0	1043	805	175	33	-1	
4	6	24	1	1	0	1043	805	175	33	-1	
5	6	24	1	1	1	1043	805	175	33	96.424614	01/02/2027
2	6	25	0	0	0	119	887	218	31	-1	
3	6	25	1	0	0	119	887	218	31	-1	
4	6	25	1	1	0	119	887	218	31	-1	
5	6	25	1	1	1	119	887	123	31	93.117996	Agencia
5	6	25	1	1	2	254	887	83	25	93.060036	Envio
2	6	26	0	0	0	1035	878	116	26	-1	
3	6	26	1	0	0	1035	878	116	26	-1	
4	6	26	1	1	0	1035	878	116	26	-1	
5	6	26	1	1	1	1035	878	116	26	92.838516	Sección
2	6	27	0	0	0	1336	874	130	25	-1	
3	6	27	1	0	0	1336	874	130	25	-1	
4	6	27	1	1	0	1336	874	130	25	-1	
5	6	27	1	1	1	1336	874	130	25	91.710037	Sucursal
2	6	28	0	0	0	1673	883	158	25	-1	
3	6	28	1	0	0	1673	883	158	25	-1	
4	6	28	1	1	0	1673	883	158	25	-1	
5	6	28	1	1	1	1673	883	158	25	92.898758	Proveedor
2	6	29	0	0	0	2046	888	227	30	-1	
3	6	29	1	0	0	2046	888	227	30	-1	
4	6	29	1	1	0	2046	888	227	30	-1	
5	6	29	1	1	1	2046	888	227	30	92.886246	Representante
2	6	30	0	0	0	113	968	10	4	-1	
3	6	30	1	0	0	113	968	10	4	-1	
4	6	30	1	1	0	113	968	10	4	-1	
5	6	30	1	1	1	113	968	10	4	90.478836	-
2	6	31	0	0	0	1964	955	379	27	-1	
3	6	31	1	0	0	1964	955	379	27	-1	
4	6	31	1	1	0	1964	955	379	27	-1	
5	6	31	1	1	1	1964	955	79	27	93.267082	JUAN
5	6	31	1	1	2	2058	955	22	26	91.939972	L.
5	6	31	1	1	3	2095	955	128	27	91.322693	GUERRA
5	6	31	1	1	4	2236	955	107	27	92.217575	DURAN
2	6	32	0	0	0	192	1031	154	31	-1	
3	6	32	1	0	0	192	1031	154	31	-1	
4	6	32	1	1	0	192	1031	154	31	-1	
5	6	32	1	1	1	192	1031	67	31	92.052055	Tipo
5	6	32	1	1	2	270	1032	76	30	91.931824	Pago
2	6	33	0	0	0	702	1032	183	30	-1	
3	6	33	1	0	0	702	1032	183	30	-1	
4	6	33	1	1	0	702	1032	183	30	-1	
5	6	33	1	1	1	702	1032	95	24	91.817024	Forma
5	6	33	1	1	2	810	1032	75	30	91.796600	Pago
2	6	34	0	0	0	1214	1033	55	23	-1	
3	6	34	1	0	0	1214	1033	55	23	-1	
4	6	34	1	1	0	1214	1033	55	23	-1	
5	6	34	1	1	1	1214	1033	55	23	93.025368	NIF
2	6	35	0	0	0	1586	1031	136	26	-1	
3	6	35	1	0	0	1586	1031	136	26	-1	
4	6	35	1	1	0	1586	1031	136	26	-1	
5	6	35	1	1	1	1586	1031	136	26	91.699265	Teléfono
2	6	36	0	0	0	113	1097	92	29	-1	
3	6	36	1	0	0	113	1097	92	29	-1	
4	6	36	1	1	0	113	1097	92	29	-1	
5	6	36	1	1	1	113	1097	92	29	90.859619	GIRO
2	6	37	0	0	0	625	1097	212	29	-1	
3	6	37	1	0	0	625	1097	212	29	-1	
4	6	37	1	1	0	625	1097	212	29	-1	
5	6	37	1	1	1	625	1098	39	28	91.232025	60
5	6	37	1	1	2	679	1097	82	28	91.232025	DIAS
5	6	37	1	1	3	776	1098	61	27	92.224861	F.F.
2	6	38	0	0	0	1212	1106	168	27	-1	
3	6	38	1	0	0	1212	1106	168	27	-1	
4	6	38	1	1	0	1212	1106	168	27	-1	
5	6	38	1	1	1	1212	1106	168	27	92.691223	B47486535
2	6	39	0	0	0	1588	1106	168	27	-1	
3	6	39	1	0	0	1588	1106	168	27	-1	
4	6	39	1	1	0	1588	1106	168	27	-1	
5	6	39	1	1	1	1588	1106	168	27	96.634109	983303702
2	6	40	0	0	0	566	1274	39	27	-1	
3	6	40	1	0	0	566	1274	39	27	-1	
4	6	40	1	1	0	566	1274	39	27	-1	
5	6	40	1	1	1	566	1274	39	27	96.501724	26
2	6	41	0	0	0	670	1274	137	27	-1	
3	6	41	1	0	0	670	1274	137	27	-1	
4	6	41	1	1	0	670	1274	137	27	-1	
5	6	41	1	1	1	670	1274	137	27	96.118713	1340142
2	6	42	0	0	0	1057	1273	304	31	-1	
3	6	42	1	0	0	1057	1273	304	31	-1	
4	6	42	1	1	0	1057	1273	304	31	-1	
5	6	42	1	1	1	1057	1274	97	24	91.410583	ISOLA
5	6	42	1	1	2	1163	1274	57	30	91.421326	Top
5	6	42	1	1	3	1230	1273	78	25	90.985718	foam
5	6	42	1	1	4	1320	1274	41	24	90.985718	3D
2	6	43	0	0	0	1701	1270	199	25	-1	
3	6	43	1	0	0	1701	1270	199	25	-1	
4	6	43	1	1	0	1701	1270	199	25	-1	
5	6	43	1	1	1	1701	1270	113	25	93.248741	BOLSA
5	6	43	1	1	2	1829	1270	12	24	92.580338	1
5	6	43	1	1	3	1854	1270	46	25	91.212395	ud.
2	6	44	0	0	0	1948	1272	169	26	-1	
3	6	44	1	0	0	1948	1272	169	26	-1	
4	6	44	1	1	0	1948	1272	169	26	-1	
5	6	44	1	1	1	1948	1273	81	20	92.342796	PVPR:
5	6	44	1	1	2	2041	1272	76	26	92.495201	21,70
2	6	45	0	0	0	567	1322	107	22	-1	
3	6	45	1	0	0	567	1322	107	22	-1	
4	6	45	1	1	0	567	1322	107	22	-1	
5	6	45	1	1	1	567	1322	52	22	93.147369	Cod.
5	6	45	1	1	2	631	1322	43	22	92.874001	Col.
2	6	46	0	0	0	717	1322	62	22	-1	
3	6	46	1	0	0	717	1322	62	22	-1	
4	6	46	1	1	0	717	1322	62	22	-1	
5	6	46	1	1	1	717	1322	62	22	92.408531	Color
2	6	47	0	0	0	1099	1321	25	19	-1	
3	6	47	1	0	0	1099	1321	25	19	-1	
4	6	47	1	1	0	1099	1321	25	19	-1	
5	6	47	1	1	1	1099	1321	25	19	96.389824	40
