level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	3	0	0	0	0	0	0	2480	3509	-1	
2	3	1	0	0	0	180	182	88	126	-1	
3	3	1	1	0	0	180	182	88	126	-1	
4	3	1	1	1	0	180	182	88	126	-1	
5	3	1	1	1	1	180	182	88	126	95.117981	ú
2	3	2	0	0	0	305	186	365	61	-1	
3	3	2	1	0	0	305	186	365	61	-1	
4	3	2	1	1	0	307	186	363	30	-1	
5	3	2	1	1	1	307	186	38	23	92.981071	RF
5	3	2	1	1	2	358	186	124	30	92.665474	EV-Flyer
5	3	2	1	1	3	493	186	71	24	91.585876	FS27
5	3	2	1	1	4	576	186	94	29	93.101807	(VE30)
4	3	2	1	2	0	305	223	316	24	-1	
5	3	2	1	2	1	305	223	110	24	88.705467	V9996Y
5	3	2	1	2	2	426	237	8	2	96.870758	-
5	3	2	1	2	3	445	223	50	24	92.742432	089
5	3	2	1	2	4	506	223	37	24	95.919075	sin
5	3	2	1	2	5	554	223	67	24	95.919075	color
2	3	3	0	0	0	448	289	14	61	-1	
3	3	3	1	0	0	448	289	14	61	-1	
4	3	3	1	1	0	448	289	14	24	-1	
5	3	3	1	1	1	448	289	14	24	95.779877	0
4	3	3	1	2	0	450	328	8	22	-1	
5	3	3	1	2	1	450	328	8	22	96.693008	1
2	3	4	0	0	0	862	186	229	29	-1	
3	3	4	1	0	0	862	186	229	29	-1	
4	3	4	1	1	0	862	186	229	29	-1	
5	3	4	1	1	1	862	186	64	29	96.448730	Tipo
5	3	4	1	1	2	937	186	34	24	92.524124	de
5	3	4	1	1	3	983	186	108	29	91.706017	pedido:
2	3	5	0	0	0	1176	186	1122	29	-1	
3	3	5	1	0	0	1176	186	1122	29	-1	
4	3	5	1	1	0	1176	186	1122	29	-1	
5	3	5	1	1	1	1176	186	25	23	90.401215	P.
5	3	5	1	1	2	1213	192	111	23	96.313217	compra
5	3	5	1	1	3	1387	186	156	24	92.454788	Descuento
5	3	5	1	1	4	1598	186	55	24	93.522949	Red
5	3	5	1	1	5	1809	186	84	23	90.527504	P.V.P.
5	3	5	1	1	6	1906	192	51	18	96.902405	rec.
5	3	5	1	1	7	2019	186	119	24	96.452393	Servicio
5	3	5	1	1	8	2149	192	15	18	96.975624	a
5	3	5	1	1	9	2176	186	78	29	96.405914	partir
5	3	5	1	1	10	2264	186	34	24	96.253502	de
2	3	6	0	0	0	1173	223	1003	27	-1	
3	3	6	1	0	0	1173	223	1003	27	-1	
4	3	6	1	1	0	1173	223	1003	27	-1	
5	3	6	1	1	1	1173	223	17	24	89.583557	€
5	3	6	1	1	2	1201	223	54	27	35.859589	0,01
5	3	6	1	1	3	1386	223	42	24	96.634926	5%
5	3	6	1	1	4	1595	223	17	24	93.285675	€
5	3	6	1	1	5	1623	223	54	27	96.329193	0,01
5	3	6	1	1	6	1806	223	17	24	93.295593	€
5	3	6	1	1	7	1834	223	58	27	96.767921	0,00
5	3	6	1	1	8	2019	223	157	24	96.558105	01-02-2027
2	3	7	0	0	0	1971	285	326	38	-1	
3	3	7	1	0	0	1971	285	326	38	-1	
4	3	7	1	1	0	1971	285	326	38	-1	
5	3	7	1	1	1	1971	285	122	38	96.369408	Cantidad
5	3	7	1	1	2	2160	289	67	24	93.268326	Total
5	3	7	1	1	3	2239	290	58	23	92.676735	neto
2	3	8	0	0	0	2027	328	8	22	-1	
3	3	8	1	0	0	2027	328	8	22	-1	
4	3	8	1	1	0	2027	328	8	22	-1	
5	3	8	1	1	1	2027	328	8	22	95.748138	1
2	3	9	0	0	0	1142	561	963	454	-1	
3	3	9	1	0	0	1142	561	963	454	-1	
4	3	9	1	1	0	2001	561	104	26	-1	
5	3	9	1	1	1	2001	561	104	26	92.843971	Piezas
4	3	9	1	2	0	1144	628	961	26	-1	
5	3	9	1	2	1	1144	628	179	26	96.302208	Promotional
5	3	9	1	2	2	1337	628	78	26	96.362938	items
5	3	9	1	2	3	2088	628	17	26	96.964958	6
4	3	9	1	3	0	1144	679	961	26	-1	
5	3	9	1	3	1	1144	679	77	26	96.780472	Rose
5	3	9	1	3	2	2068	679	37	26	96.657951	40
4	3	9	1	4	0	1143	730	962	26	-1	
5	3	9	1	4	1	1143	730	56	26	96.448486	Sita
5	3	9	1	4	2	2071	730	34	26	96.794167	13
4	3	9	1	5	0	1142	776	958	40	-1	
5	3	9	1	5	1	1142	776	81	40	94.703545	Tahiti
5	3	9	1	5	2	2069	781	31	26	95.129890	31
4	3	9	1	6	0	1142	825	963	40	-1	
5	3	9	1	6	1	1142	825	79	40	96.943710	Total
5	3	9	1	6	2	2069	835	36	26	96.644073	90
4	3	9	1	7	0	1144	951	435	32	-1	
5	3	9	1	7	1	1144	951	79	26	90.682655	Base
5	3	9	1	7	2	1236	951	158	32	90.355263	imponible
5	3	9	1	7	3	1407	951	8	32	90.355263	(
5	3	9	1	7	4	1427	951	73	26	96.486588	excl.
5	3	9	1	7	5	1514	951	65	32	96.513680	IVA)
4	3	9	1	8	0	1144	989	960	26	-1	
5	3	9	1	8	1	1144	989	172	26	93.097977	Descuento
5	3	9	1	8	2	1328	989	38	26	95.331566	de
5	3	9	1	8	3	1379	989	74	26	95.331566	linea
5	3	9	1	8	4	1464	989	70	26	96.926987	total
5	3	9	1	8	5	2048	989	56	26	96.013115	5%
2	3	10	0	0	0	1142	1056	163	26	-1	
3	3	10	1	0	0	1142	1056	163	26	-1	
4	3	10	1	1	0	1142	1056	163	26	-1	
5	3	10	1	1	1	1142	1056	79	26	93.248863	Total
5	3	10	1	1	2	1235	1057	70	25	92.984421	neto
2	3	11	0	0	0	2185	327	81	27	-1	
3	3	11	1	0	0	2185	327	81	27	-1	
4	3	11	1	1	0	2185	327	81	27	-1	
5	3	11	1	1	1	2185	327	17	24	93.298386	€
5	3	11	1	1	2	2213	327	53	27	95.458015	0,01
2	3	12	0	0	0	2194	561	132	305	-1	
3	3	12	1	0	0	2307	561	19	26	-1	
4	3	12	1	1	0	2307	561	19	26	-1	
5	3	12	1	1	1	2307	561	19	26	93.248840	€
3	3	12	2	0	0	2194	628	132	238	-1	
4	3	12	2	1	0	2261	628	64	30	-1	
5	3	12	2	1	1	2261	628	64	30	96.035156	0,06
4	3	12	2	2	0	2197	679	128	30	-1	
5	3	12	2	2	1	2197	679	128	30	91.736298	1.172,78
4	3	12	2	3	0	2223	730	102	30	-1	
5	3	12	2	3	1	2223	730	102	30	96.174965	368,03
4	3	12	2	4	0	2223	781	102	30	-1	
5	3	12	2	4	1	2223	781	102	30	96.557175	821,08
4	3	12	2	5	0	2194	835	132	31	-1	
5	3	12	2	5	1	2194	835	132	31	88.076881	2.361,95
2	3	13	0	0	0	2194	951	131	68	-1	
3	3	13	1	0	0	2194	951	131	68	-1	
4	3	13	1	1	0	2194	951	131	30	-1	
5	3	13	1	1	1	2194	951	131	30	90.165680	2.486,26
4	3	13	1	2	0	2225	989	96	30	-1	
5	3	13	1	2	1	2225	989	96	30	96.598701	124,31
2	3	14	0	0	0	2194	1056	132	31	-1	
3	3	14	1	0	0	2194	1056	132	31	-1	
4	3	14	1	1	0	2194	1056	132	31	-1	
5	3	14	1	1	1	2194	1056	132	31	88.076881	2.361,95
