level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	3	0	0	0	0	0	0	2481	3508	-1	
2	3	1	0	0	0	143	191	127	35	-1	
3	3	1	1	0	0	143	191	127	35	-1	
4	3	1	1	1	0	143	191	127	35	-1	
5	3	1	1	1	1	143	191	127	35	89.731003	Imagen
2	3	2	0	0	0	320	190	188	29	-1	
3	3	2	1	0	0	320	190	188	29	-1	
4	3	2	1	1	0	320	190	188	29	-1	
5	3	2	1	1	1	320	190	188	29	92.024178	Referencia
2	3	3	0	0	0	895	191	161	28	-1	
3	3	3	1	0	0	895	191	161	28	-1	
4	3	3	1	1	0	895	191	161	28	-1	
5	3	3	1	1	1	895	191	161	28	92.027138	Producto
2	3	4	0	0	0	1616	191	19	27	-1	
3	3	4	1	0	0	1616	191	19	27	-1	
4	3	4	1	1	0	1616	191	19	27	-1	
5	3	4	1	1	1	1616	191	19	27	89.841583	L
2	3	5	0	0	0	1683	191	140	27	-1	
3	3	5	1	0	0	1683	191	140	27	-1	
4	3	5	1	1	0	1683	191	140	27	-1	
5	3	5	1	1	1	1683	191	47	27	92.486465	XL
5	3	5	1	1	2	1756	191	67	27	0.000000	|2XL
2	3	6	0	0	0	1928	190	237	29	-1	
3	3	6	1	0	0	1928	190	237	29	-1	
4	3	6	1	1	0	1928	190	237	29	-1	
5	3	6	1	1	1	1928	190	89	29	92.899307	Cant.
5	3	6	1	1	2	2032	186	15	42	93.302444	|
5	3	6	1	1	3	2054	191	111	28	91.877769	Precio
2	3	7	0	0	0	2230	191	86	28	-1	
3	3	7	1	0	0	2230	191	86	28	-1	
4	3	7	1	1	0	2230	191	86	28	-1	
5	3	7	1	1	1	2230	191	86	28	92.333420	Total
2	3	8	0	0	0	316	305	194	25	-1	
3	3	8	1	0	0	316	305	194	25	-1	
4	3	8	1	1	0	316	305	194	25	-1	
5	3	8	1	1	1	316	305	127	25	96.623741	0127820
5	3	8	1	1	2	455	319	9	3	92.129707	-
5	3	8	1	1	3	476	305	34	25	92.129707	02
2	3	9	0	0	0	544	399	341	25	-1	
3	3	9	1	0	0	544	399	341	25	-1	
4	3	9	1	1	0	544	399	341	25	-1	
5	3	9	1	1	1	544	399	109	24	92.702705	Vestido
5	3	9	1	1	2	666	399	100	24	92.667046	Detalle
5	3	9	1	1	3	778	399	107	25	92.729271	Jaretas
2	3	10	0	0	0	2091	399	81	25	-1	
3	3	10	1	0	0	2091	399	81	25	-1	
4	3	10	1	1	0	2091	399	81	25	-1	
5	3	10	1	1	1	2091	399	81	25	93.106697	24.90
2	3	11	0	0	0	2253	399	96	25	-1	
3	3	11	1	0	0	2253	399	96	25	-1	
4	3	11	1	1	0	2253	399	96	25	-1	
5	3	11	1	1	1	2253	399	96	25	93.038879	149.40
2	3	12	0	0	0	325	413	177	76	-1	
3	3	12	1	0	0	325	413	177	76	-1	
4	3	12	1	1	0	325	413	177	76	-1	
5	3	12	1	1	1	325	413	177	76	42.038082	a
2	3	13	0	0	0	329	490	24	8	-1	
3	3	13	1	0	0	329	490	24	8	-1	
4	3	13	1	1	0	329	490	24	8	-1	
5	3	13	1	1	1	329	490	24	8	28.717728	o
2	3	14	0	0	0	316	541	194	25	-1	
3	3	14	1	0	0	316	541	194	25	-1	
4	3	14	1	1	0	316	541	194	25	-1	
5	3	14	1	1	1	316	541	127	25	96.545128	0127820
5	3	14	1	1	2	455	555	9	3	95.975380	-
5	3	14	1	1	3	476	541	34	25	95.975380	52
2	3	15	0	0	0	544	636	341	25	-1	
3	3	15	1	0	0	544	636	341	25	-1	
4	3	15	1	1	0	544	636	341	25	-1	
