level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	4	0	0	0	0	0	0	2481	3508	-1	
2	4	1	0	0	0	132	130	263	21	-1	
3	4	1	1	0	0	132	130	263	21	-1	
4	4	1	1	1	0	132	130	263	21	-1	
5	4	1	1	1	1	132	130	105	21	92.775620	Reserva
5	4	1	1	1	2	248	130	30	21	93.298836	de
5	4	1	1	1	3	288	130	107	21	92.289970	dominio:
2	4	2	0	0	0	132	176	1649	28	-1	
3	4	2	1	0	0	132	176	1649	28	-1	
4	4	2	1	1	0	132	176	1649	28	-1	
5	4	2	1	1	1	132	177	99	25	92.433693	Rizzolo,
5	4	2	1	1	2	243	176	77	23	91.118279	S.L.U.
5	4	2	1	1	3	332	177	93	27	93.022301	seguirá
5	4	2	1	1	4	436	177	84	21	93.109940	siendo
5	4	2	1	1	5	530	177	136	27	93.198723	propietario
5	4	2	1	1	6	676	177	30	21	93.302925	de
5	4	2	1	1	7	716	177	55	21	92.674660	todo
5	4	2	1	1	8	782	177	111	27	92.389771	producto
5	4	2	1	1	9	903	177	163	21	92.940216	suministrado
5	4	2	1	1	10	1077	177	68	21	93.243935	hasta
5	4	2	1	1	11	1156	177	20	21	93.303070	el
5	4	2	1	1	12	1187	182	62	22	93.022049	pago
5	4	2	1	1	13	1259	177	117	27	93.170395	completo
5	4	2	1	1	14	1386	177	36	21	93.306091	del
5	4	2	1	1	15	1434	177	76	27	93.142754	precio
5	4	2	1	1	16	1521	182	41	22	93.295433	por
5	4	2	1	1	17	1571	178	64	26	93.256035	parte
5	4	2	1	1	18	1645	177	36	21	93.296204	del
5	4	2	1	1	19	1692	177	89	21	92.676361	cliente.
2	4	3	0	0	0	132	224	448	27	-1	
3	4	3	1	0	0	132	224	448	27	-1	
4	4	3	1	1	0	132	224	448	27	-1	
5	4	3	1	1	1	132	224	142	27	92.368973	Legislación
5	4	3	1	1	2	285	224	113	27	93.124069	aplicable
5	4	3	1	1	3	408	229	13	22	93.284653	y
5	4	3	1	1	4	428	224	152	27	91.169922	jurisdicción:
2	4	4	0	0	0	132	270	2218	28	-1	
3	4	4	1	0	0	132	270	2218	28	-1	
4	4	4	1	1	0	132	270	2218	28	-1	
5	4	4	1	1	1	132	271	29	21	93.188744	La
5	4	4	1	1	2	175	276	95	22	93.219254	compra
5	4	4	1	1	3	284	271	30	21	93.299957	de
5	4	4	1	1	4	329	271	126	27	92.483780	productos
5	4	4	1	1	5	468	276	14	16	93.255882	a
5	4	4	1	1	6	498	271	99	25	92.629349	Rizzolo,
5	4	4	1	1	7	612	270	78	23	91.141411	S.L.U.
5	4	4	1	1	8	705	276	29	16	93.025917	se
5	4	4	1	1	9	748	271	72	27	92.830170	regirá
5	4	4	1	1	10	835	276	41	22	93.172684	por
5	4	4	1	1	11	889	271	20	21	92.998795	la
5	4	4	1	1	12	924	271	44	27	92.140144	Ley
5	4	4	1	1	13	983	271	125	27	91.964531	Española.
5	4	4	1	1	14	1123	270	124	28	91.733757	Cualquier
5	4	4	1	1	15	1260	271	156	21	91.733757	controversia
5	4	4	1	1	16	1430	276	47	22	93.243576	que
5	4	4	1	1	17	1491	271	61	27	93.201096	surja
5	4	4	1	1	18	1566	271	55	21	92.470985	será
5	4	4	1	1	19	1635	271	116	21	93.098915	sometida
5	4	4	1	1	20	1765	276	14	16	96.355629	a
5	4	4	1	1	21	1794	271	19	21	93.275772	la
5	4	4	1	1	22	1825	271	144	27	92.967575	jurisdicción
5	4	4	1	1	23	1984	271	117	21	93.081551	exclusiva
5	4	4	1	1	24	2115	271	31	21	93.302193	de
5	4	4	1	1	25	2160	271	35	21	92.301414	los
5	4	4	1	1	26	2206	271	118	27	93.030022	juzgados
5	4	4	1	1	27	2337	276	13	22	96.902924	y
2	4	5	0	0	0	130	318	417	27	-1	
3	4	5	1	0	0	130	318	417	27	-1	
4	4	5	1	1	0	130	318	417	27	-1	
5	4	5	1	1	1	130	318	125	21	92.840584	tribunales
5	4	5	1	1	2	265	318	31	21	96.939827	de
5	4	5	1	1	3	307	318	19	21	93.290154	la
5	4	5	1	1	4	337	318	83	21	92.195534	ciudad
5	4	5	1	1	5	431	318	30	21	93.164520	de
5	4	5	1	1	6	470	318	77	27	91.130096	Alcoy.
2	4	6	0	0	0	130	366	168	21	-1	
3	4	6	1	0	0	130	366	168	21	-1	
4	4	6	1	1	0	130	366	168	21	-1	
5	4	6	1	1	1	130	366	75	21	93.049438	Venta
5	4	6	1	1	2	215	366	83	21	93.074104	online:
2	4	7	0	0	0	132	412	1563	28	-1	
3	4	7	1	0	0	132	412	1563	28	-1	
4	4	7	1	1	0	132	412	1563	28	-1	
5	4	7	1	1	1	132	413	99	25	91.999146	Rizzolo,
5	4	7	1	1	2	243	412	77	23	92.894691	S.L.U.
5	4	7	1	1	3	333	413	94	27	92.799080	permite
5	4	7	1	1	4	438	413	20	21	93.228951	la
5	4	7	1	1	5	468	414	69	20	93.169174	venta
5	4	7	1	1	6	548	413	75	21	93.234276	online
5	4	7	1	1	7	633	418	14	16	93.305885	a
5	4	7	1	1	8	658	418	43	16	92.859619	sus
5	4	7	1	1	9	711	413	97	21	93.152977	clientes
5	4	7	1	1	10	818	413	102	27	92.395271	siempre
5	4	7	1	1	11	930	418	47	22	93.285141	que
5	4	7	1	1	12	988	413	19	21	93.253082	la
5	4	7	1	1	13	1018	413	131	27	92.816940	regulación
5	4	7	1	1	14	1160	413	146	21	92.816940	establecida
5	4	7	1	1	15	1316	413	30	21	96.991402	de
5	4	7	1	1	16	1357	413	35	21	93.300598	las
5	4	7	1	1	17	1403	418	93	16	92.325874	marcas
5	4	7	1	1	18	1506	418	45	16	91.717010	sea
5	4	7	1	1	19	1562	413	133	27	92.940125	respetada.
2	4	8	0	0	0	132	460	261	21	-1	
3	4	8	1	0	0	132	460	261	21	-1	
4	4	8	1	1	0	132	460	261	21	-1	
5	4	8	1	1	1	132	460	134	21	91.303108	Protección
5	4	8	1	1	2	277	460	30	21	93.304390	de
5	4	8	1	1	3	317	460	76	21	92.854477	datos:
2	4	9	0	0	0	132	554	2217	28	-1	
3	4	9	1	0	0	132	554	2217	28	-1	
4	4	9	1	1	0	132	554	2217	28	-1	
5	4	9	1	1	1	132	555	22	21	93.301811	El
5	4	9	1	1	2	165	555	82	21	92.905655	cliente
5	4	9	1	1	3	258	560	92	16	92.748611	conoce
5	4	9	1	1	4	360	560	14	22	93.302773	y
5	4	9	1	1	5	384	556	85	26	92.781876	acepta
5	4	9	1	1	6	480	560	47	22	93.218689	que
5	4	9	1	1	7	537	560	44	16	93.150665	sus
5	4	9	1	1	8	591	555	70	21	92.920044	datos
5	4	9	1	1	9	671	555	30	21	93.301338	de
5	4	9	1	1	10	712	555	105	21	91.900497	carácter
5	4	9	1	1	11	827	555	108	27	92.400497	personal
5	4	9	1	1	12	947	555	127	27	92.636299	aportados
5	4	9	1	1	13	1085	560	56	22	92.782112	para
5	4	9	1	1	14	1152	555	20	21	93.283371	la
5	4	9	1	1	15	1182	554	170	22	93.002113	formalización
5	4	9	1	1	16	1363	555	31	21	93.305054	de
5	4	9	1	1	17	1404	556	53	20	93.171700	esta
5	4	9	1	1	18	1468	555	72	21	91.911507	orden
5	4	9	1	1	19	1551	555	30	21	93.305557	de
5	4	9	1	1	20	1593	555	85	27	92.237099	pedido
5	4	9	1	1	21	1688	560	61	16	92.812370	sean
5	4	9	1	1	22	1761	555	111	21	93.209396	incluidos
5	4	9	1	1	23	1882	560	30	16	93.100601	en
5	4	9	1	1	24	1924	560	29	16	93.100601	un
5	4	9	1	1	25	1963	554	87	22	92.186119	fichero
5	4	9	1	1	26	2060	555	30	21	93.305481	de
5	4	9	1	1	27	2101	555	70	21	93.008965	datos
5	4	9	1	1	28	2181	555	30	21	93.295448	de
5	4	9	1	1	29	2223	555	126	27	92.983604	propiedad
2	4	10	0	0	0	131	601	2219	28	-1	
3	4	10	1	0	0	131	601	2219	28	-1	
4	4	10	1	1	0	131	601	2219	28	-1	
5	4	10	1	1	1	131	602	30	21	96.726746	de
5	4	10	1	1	2	174	602	19	21	93.302269	la
5	4	10	1	1	3	205	607	112	22	93.106163	empresa
5	4	10	1	1	4	328	607	13	22	93.304100	y
5	4	10	1	1	5	353	602	156	27	92.563377	responsable
5	4	10	1	1	6	521	602	30	21	93.302322	de
5	4	10	1	1	7	563	603	60	20	92.674866	esta.
5	4	10	1	1	8	637	601	50	23	90.701599	Con
5	4	10	1	1	9	700	602	60	21	92.927124	base
5	4	10	1	1	10	772	607	30	16	96.998978	en
5	4	10	1	1	11	815	602	20	21	93.292732	la
5	4	10	1	1	12	848	602	44	27	92.663002	Ley
5	4	10	1	1	13	904	601	86	23	93.021515	3/2018
5	4	10	1	1	14	1002	602	30	21	93.298790	de
5	4	10	1	1	15	1045	602	134	21	91.712723	Protección
5	4	10	1	1	16	1192	602	30	21	93.302948	de
5	4	10	1	1	17	1235	602	73	21	92.791916	Datos
5	4	10	1	1	18	1321	602	143	21	91.997238	Personales
5	4	10	1	1	19	1475	607	13	22	93.299919	y
5	4	10	1	1	20	1500	601	126	23	92.563499	Garantías
5	4	10	1	1	21	1637	602	31	21	93.304657	de
5	4	10	1	1	22	1680	602	122	21	92.248085	Derechos
5	4	10	1	1	23	1815	602	115	27	92.248085	Digitales,
5	4	10	1	1	24	1944	602	19	21	93.301582	el
5	4	10	1	1	25	1976	602	82	21	92.483360	cliente
5	4	10	1	1	26	2069	602	62	21	92.231422	tiene
5	4	10	1	1	27	2143	602	35	21	93.166473	los
5	4	10	1	1	28	2190	602	118	21	93.035339	derechos
5	4	10	1	1	29	2319	602	31	21	96.994659	de
2	4	11	0	0	0	131	648	1658	28	-1	
3	4	11	1	0	0	131	648	1658	28	-1	
4	4	11	1	1	0	131	648	1658	28	-1	
5	4	11	1	1	1	131	654	97	20	92.348106	acceso,
5	4	11	1	1	2	240	648	158	26	91.927109	rectificación,
5	4	11	1	1	3	410	649	151	21	92.916100	cancelación
5	4	11	1	1	4	572	654	13	22	93.301132	y
5	4	11	1	1	5	595	649	120	27	92.249992	oposición
5	4	11	1	1	6	726	654	46	22	93.197227	que
5	4	11	1	1	7	783	649	72	27	93.222023	podrá
5	4	11	1	1	8	865	649	89	27	92.397408	ejercer
5	4	11	1	1	9	963	649	117	21	91.841713	mediante
5	4	11	1	1	10	1091	649	175	21	92.554085	comunicación
5	4	11	1	1	11	1276	648	134	22	93.007591	fehaciente
5	4	11	1	1	12	1420	654	14	16	96.924904	a
5	4	11	1	1	13	1445	649	20	21	93.302338	la
5	4	11	1	1	14	1475	649	114	21	93.016762	dirección
5	4	11	1	1	15	1600	649	30	21	96.958450	de
5	4	11	1	1	16	1641	649	20	21	93.294746	la
5	4	11	1	1	17	1671	654	118	22	92.678284	empresa.
